CDBASE;DATE_Livraison;PICKING;QTE_Permanent;QTE_Promo;QTE_totale;CA_HT_Permanent;CA_HT_Promo;CA_HT_total;CA_TTC_Permanent;CA_TTC_Promo;CA_TTC_total
3456133;27/05/2025;Picking Entrepot;1;7;8;3,5;22,8;26,4;3,8;24,1;27,8
3456136;27/05/2025;Picking Entrepot;1;7;8;4,3;27,8;32,2;4,6;29,4;34
3457177;27/05/2025;Picking Entrepot;;3;3;;9,1;9,1;;10,9;10,9
3457203;27/05/2025;Picking Entrepot;3;3;6;6,4;6,3;12,7;6,7;6,7;13,4
3457370;27/05/2025;Picking Entrepot;5;;5;8,9;;8,9;9,4;;9,4
3460077;27/05/2025;Picking Entrepot;2;;2;3,5;;3,5;3,7;;3,7
3462318;27/05/2025;Picking Entrepot;1;3;4;6;14,3;20,3;6,3;15,1;21,4
3463729;27/05/2025;Picking Entrepot;6;;6;34,8;;34,8;36,7;;36,7
3464893;27/05/2025;Picking Entrepot;45;4;49;68,7;5,8;74,5;72,5;6,2;78,6
3465254;27/05/2025;Picking Entrepot;3;;3;5,3;;5,3;5,6;;5,6
3466297;27/05/2025;Picking Entrepot;3;11;14;9,9;32,4;42,3;10,5;34,2;44,7
3467460;27/05/2025;Picking Entrepot;1;;1;3,4;;3,4;3,5;;3,5
3467509;27/05/2025;Picking Entrepot;8;1;9;19,4;2,5;21,9;20,4;2,7;23,1
3467711;27/05/2025;Picking Entrepot;11;;11;28,7;;28,7;30,2;;30,2
3468944;27/05/2025;Picking Entrepot;;2;2;;9,2;9,2;;9,7;9,7
3469264;27/05/2025;Picking Entrepot;1;4;5;6,4;25,6;32;6,8;27;33,8
3469450;27/05/2025;Picking Entrepot;4;;4;33,3;;33,3;35,2;;35,2
3469787;27/05/2025;Picking Entrepot;9;;9;17,2;;17,2;18,2;;18,2
3471612;27/05/2025;Picking Entrepot;2;;2;3,5;;3,5;3,6;;3,6
3473970;27/05/2025;Picking Entrepot;1;;1;3,8;;3,8;4;;4
3474557;27/05/2025;Picking Entrepot;2;;2;6,7;;6,7;7,1;;7,1
3474687;27/05/2025;Picking Entrepot;4;;4;18,9;;18,9;20;;20
3476355;27/05/2025;Picking Entrepot;1;;1;3,1;;3,1;3,2;;3,2
3477274;27/05/2025;Picking Entrepot;1;;1;2;;2;2,1;;2,1
3477650;27/05/2025;Picking Entrepot;43;;43;46;;46;48,6;;48,6
3477733;27/05/2025;Picking Entrepot;11;1;12;24,1;2,3;26,3;25,4;2,4;27,8
3477870;27/05/2025;Picking Entrepot;1;;1;4,5;;4,5;4,7;;4,7
3479043;27/05/2025;Picking Entrepot;5;;5;8,1;;8,1;9,8;;9,8
3480322;27/05/2025;Picking Entrepot;5;;5;6,1;;6,1;6,5;;6,5
3482835;27/05/2025;Picking Entrepot;1;;1;6,8;;6,8;8,2;;8,2
3484241;27/05/2025;Picking Entrepot;27;;27;52,4;;52,4;62,8;;62,8
3484427;27/05/2025;Picking Entrepot;6;17;23;9,5;26,5;36,1;10,1;28;38,1
3485582;27/05/2025;Picking Entrepot;1;;1;1,3;;1,3;1,4;;1,4
3486258;27/05/2025;Picking Entrepot;3;;3;7,1;;7,1;7,5;;7,5
3488165;27/05/2025;Picking Entrepot;1;;1;2,4;;2,4;2,5;;2,5
3490291;27/05/2025;Picking Entrepot;1;;1;3,7;;3,7;4;;4
3490293;27/05/2025;Picking Entrepot;2;7;9;4,3;13;17,2;4,5;13,7;18,2
3490624;27/05/2025;Picking Entrepot;2;;2;8,6;;8,6;10,3;;10,3
3492372;27/05/2025;Picking Entrepot;3;;3;11,8;;11,8;12,5;;12,5
3493220;27/05/2025;Picking Entrepot;8;;8;10,4;;10,4;12,5;;12,5
3493643;27/05/2025;Picking Entrepot;1;;1;2;;2;2,1;;2,1
3493882;27/05/2025;Picking Entrepot;2;;2;2,7;;2,7;2,8;;2,8
3493906;27/05/2025;Picking Entrepot;7;;7;17,2;;17,2;18,1;;18,1
3493913;27/05/2025;Picking Entrepot;9;;9;17,2;;17,2;18,1;;18,1
3494056;27/05/2025;Picking Entrepot;1;;1;2,7;;2,7;2,9;;2,9
3495786;27/05/2025;Picking Entrepot;;1;1;;5,8;5,8;;7;7
3496212;27/05/2025;Picking Entrepot;13;5;18;59,4;23,2;82,6;62,7;24,5;87,2
3499927;27/05/2025;Picking Entrepot;7;;7;12,9;;12,9;13,7;;13,7
3500422;27/05/2025;Picking Entrepot;3;;3;12,1;;12,1;12,8;;12,8
3500613;27/05/2025;Picking Entrepot;2;;2;2,3;;2,3;2,4;;2,4
3500628;27/05/2025;Picking Entrepot;5;;5;10,7;;10,7;11,3;;11,3
3501256;27/05/2025;Picking Entrepot;1;;1;5;;5;5,3;;5,3
3502193;27/05/2025;Picking Entrepot;;2;2;;7,9;7,9;;8,3;8,3
3503843;27/05/2025;Picking Entrepot;;3;3;;24,9;24,9;;29,9;29,9
3503955;27/05/2025;Picking Entrepot;1;;1;3,9;;3,9;4,1;;4,1
3504287;27/05/2025;Picking Entrepot;6;;6;7,3;;7,3;7,8;;7,8
3504315;27/05/2025;Picking Entrepot;3;;3;3,5;;3,5;3,8;;3,8
3505281;27/05/2025;Picking Entrepot;3;;3;4,8;;4,8;5,1;;5,1
3505297;27/05/2025;Picking Entrepot;7;;7;18;;18;19;;19
3509081;27/05/2025;Picking Entrepot;1;;1;0,8;;0,8;1;;1
3509698;27/05/2025;Picking Entrepot;1;;1;11,1;;11,1;13,3;;13,3
3509898;27/05/2025;Picking Entrepot;13;;13;17,7;;17,7;18,7;;18,7
3511157;27/05/2025;Picking Entrepot;114;;114;84,6;;84,6;89,2;;89,2
3513376;27/05/2025;Picking Entrepot;3;;3;22;;22;23,2;;23,2
3516381;27/05/2025;Picking Entrepot;3;;3;9,8;;9,8;10,3;;10,3
3517125;27/05/2025;Picking Entrepot;1;;1;2;;2;2,5;;2,5
3517671;27/05/2025;Picking Entrepot;;1;1;;2,6;2,6;;2,8;2,8
3517683;27/05/2025;Picking Entrepot;2;1;3;5,3;2,6;7,9;5,6;2,8;8,3
3517929;27/05/2025;Picking Entrepot;4;;4;14;;14;14,8;;14,8
3519915;27/05/2025;Picking Entrepot;1;;1;2,8;;2,8;3;;3
3521400;27/05/2025;Picking Entrepot;2;;2;5,8;;5,8;6,2;;6,2
3522024;27/05/2025;Picking Entrepot;15;;15;20,6;;20,6;21,8;;21,8
3523606;27/05/2025;Picking Entrepot;2;;2;5,3;;5,3;5,6;;5,6
3523758;27/05/2025;Picking Entrepot;1;;1;3,8;;3,8;4;;4
3524876;27/05/2025;Picking Entrepot;;1;1;;1,9;1,9;;2;2
3525002;27/05/2025;Picking Entrepot;1;;1;1,9;;1,9;2;;2
3525082;27/05/2025;Picking Entrepot;12;174;186;4,2;54,5;58,7;4,4;57,5;62
3525237;27/05/2025;Picking Entrepot;27;;27;51;;51;53,7;;53,7
3525663;27/05/2025;Picking Entrepot;2;;2;3,8;;3,8;4;;4
3525668;27/05/2025;Picking Entrepot;2;;2;3,8;;3,8;4;;4
3531323;27/05/2025;Picking Entrepot;17;;17;34,3;;34,3;36,2;;36,2
3532139;27/05/2025;Picking Entrepot;4;;4;7,6;;7,6;8;;8
3534329;27/05/2025;Picking Entrepot;2;;2;14,3;;14,3;15,1;;15,1
3534345;27/05/2025;Picking Entrepot;3;;3;55,4;;55,4;58,5;;58,5
3535633;27/05/2025;Picking Entrepot;1;;1;3,5;;3,5;3,8;;3,8
3535921;27/05/2025;Picking Entrepot;9;;9;19,2;;19,2;20,2;;20,2
3543463;27/05/2025;Picking Entrepot;1;;1;2,1;;2,1;2,2;;2,2
3544030;27/05/2025;Picking Entrepot;1;;1;2,4;;2,4;2,5;;2,5
3562126;27/05/2025;Picking Entrepot;7;1;8;11;1,5;12,5;11,6;1,6;13,2
3565638;27/05/2025;Picking Entrepot;1;;1;1,1;;1,1;1,1;;1,1
3572325;27/05/2025;Picking Entrepot;13;;13;19,4;;19,4;20,5;;20,5
3573195;27/05/2025;Picking Entrepot;1;;1;4,2;;4,2;5,1;;5,1
3578808;27/05/2025;Picking Entrepot;;1;1;;2,1;2,1;;2,5;2,5
3581201;27/05/2025;Picking Entrepot;;3;3;;1,5;1,5;;1,6;1,6
3581431;27/05/2025;Picking Entrepot;5;;5;11,8;;11,8;12,4;;12,4
3581546;27/05/2025;Picking Entrepot;4;;4;11,3;;11,3;12;;12
3584275;27/05/2025;Picking Entrepot;11;;11;10,3;;10,3;10,9;;10,9
3591377;27/05/2025;Picking Entrepot;3;;3;6,5;;6,5;6,8;;6,8
3593471;27/05/2025;Picking Entrepot;1;;1;2,5;;2,5;2,6;;2,6
3600715;27/05/2025;Picking Entrepot;3;;3;2,5;;2,5;2,6;;2,6
3601007;27/05/2025;Picking Entrepot;;1;1;;4;4;;4,2;4,2
3601534;27/05/2025;Picking Entrepot;;6;6;;11,9;11,9;;12,5;12,5
3605196;27/05/2025;Picking Entrepot;1;;1;2,3;;2,3;2,4;;2,4
3605465;27/05/2025;Picking Entrepot;13;;13;71;;71;75;;75
3605911;27/05/2025;Picking Entrepot;4;;4;6,6;;6,6;8;;8
3607005;27/05/2025;Picking Entrepot;16;;16;23,5;;23,5;24,8;;24,8
3609539;27/05/2025;Picking Entrepot;36;;36;337,7;;337,7;356,2;;356,2
3610868;27/05/2025;Picking Entrepot;23;;23;55,7;;55,7;58,7;;58,7
3613482;27/05/2025;Picking Entrepot;1;;1;2,1;;2,1;2,2;;2,2
3615978;27/05/2025;Picking Entrepot;9;;9;8,5;;8,5;8,9;;8,9
3617931;27/05/2025;Picking Entrepot;3;;3;11,6;;11,6;12,3;;12,3
3618003;27/05/2025;Picking Entrepot;1;;1;5,2;;5,2;5,5;;5,5
3618689;27/05/2025;Picking Entrepot;1;;1;4;;4;4,2;;4,2
3621294;27/05/2025;Picking Entrepot;11;;11;11;;11;11,6;;11,6
3621373;27/05/2025;Picking Entrepot;4;;4;4,9;;4,9;5,2;;5,2
3621412;27/05/2025;Picking Entrepot;2;1;3;5,6;2,9;8,5;5,9;3;8,9
3621636;27/05/2025;Picking Entrepot;4;1;5;4,9;1,2;6,1;5,2;1,3;6,5
3625732;27/05/2025;Picking Entrepot;1;;1;3,9;;3,9;4,2;;4,2
3625887;27/05/2025;Picking Entrepot;4;;4;6,8;;6,8;7,2;;7,2
3628488;27/05/2025;Picking Entrepot;10;;10;19,9;;19,9;20,9;;20,9
3629560;27/05/2025;Picking Entrepot;1;;1;2,2;;2,2;2,3;;2,3
3629706;27/05/2025;Picking Entrepot;18;;18;42,8;;42,8;45,2;;45,2
3630664;27/05/2025;Picking Entrepot;3;;3;8,1;;8,1;8,5;;8,5
3630988;27/05/2025;Picking Entrepot;2;;2;3,2;;3,2;3,4;;3,4
3631418;27/05/2025;Picking Entrepot;3;;3;5;;5;5,2;;5,2
3631421;27/05/2025;Picking Entrepot;3;;3;2,1;;2,1;2,2;;2,2
3631547;27/05/2025;Picking Entrepot;2;;2;3,8;;3,8;4;;4
3631744;27/05/2025;Picking Entrepot;8;;8;40,4;;40,4;42,6;;42,6
3631945;27/05/2025;Picking Entrepot;1;;1;2,8;;2,8;3;;3
3633225;27/05/2025;Picking Entrepot;3;;3;5,4;;5,4;5,7;;5,7
3634955;27/05/2025;Picking Entrepot;;4;4;;7,2;7,2;;7,6;7,6
3634956;27/05/2025;Picking Entrepot;;2;2;;3,2;3,2;;3,4;3,4
3634957;27/05/2025;Picking Entrepot;;5;5;;10,6;10,6;;11,2;11,2
3635000;27/05/2025;Picking Entrepot;;8;8;;16,2;16,2;;17,1;17,1
3635056;27/05/2025;Picking Entrepot;;10;10;;16,1;16,1;;16,9;16,9
3635090;27/05/2025;Picking Entrepot;2;15;17;3,8;23,7;27,5;4;25,1;29
3637004;27/05/2025;Picking Entrepot;;5;5;;10;10;;10,5;10,5
3639470;27/05/2025;Picking Entrepot;3;;3;12,1;;12,1;12,8;;12,8
3640070;27/05/2025;Picking Entrepot;3;;3;2,5;;2,5;2,6;;2,6
3640650;27/05/2025;Picking Entrepot;8;;8;9,5;;9,5;10;;10
3641127;27/05/2025;Picking Entrepot;1;;1;6,3;;6,3;7,5;;7,5
3643641;27/05/2025;Picking Entrepot;4;;4;4,5;;4,5;4,8;;4,8
3649404;27/05/2025;Picking Entrepot;26;36;62;37,3;42,3;79,7;44,9;50,8;95,7
3649453;27/05/2025;Picking Entrepot;1;2;3;2;3,2;5,2;2,4;3,8;6,2
3655907;27/05/2025;Picking Entrepot;5;;5;11,3;;11,3;11,9;;11,9
3655972;27/05/2025;Picking Entrepot;2;;2;1,9;;1,9;2;;2
3657360;27/05/2025;Picking Entrepot;2;;2;5,7;;5,7;6;;6
3658138;27/05/2025;Picking Entrepot;1;;1;2;;2;2,1;;2,1
3661399;27/05/2025;Picking Entrepot;1;;1;6,6;;6,6;7;;7
3663525;27/05/2025;Picking Entrepot;9;;9;12,3;;12,3;13,1;;13,1
3672531;27/05/2025;Picking Entrepot;5;;5;5,7;;5,7;6;;6
3672637;27/05/2025;Picking Entrepot;1;;1;1,6;;1,6;1,6;;1,6
3673983;27/05/2025;Picking Entrepot;2;;2;1,9;;1,9;2;;2
3674518;27/05/2025;Picking Entrepot;1;;1;2,2;;2,2;2,6;;2,6
3675390;27/05/2025;Picking Entrepot;2;;2;4,3;;4,3;4,5;;4,5
3675743;27/05/2025;Picking Entrepot;10;;10;27;;27;28,5;;28,5
3677593;27/05/2025;Picking Entrepot;5;;5;7;;7;8,3;;8,3
3677603;27/05/2025;Picking Entrepot;2;;2;4,2;;4,2;4,4;;4,4
3677748;27/05/2025;Picking Entrepot;6;;6;7,7;;7,7;8,1;;8,1
3677814;27/05/2025;Picking Entrepot;22;;22;24;;24;25,3;;25,3
3679639;27/05/2025;Picking Entrepot;7;;7;14,7;;14,7;17,6;;17,6
3679719;27/05/2025;Picking Entrepot;4;;4;10,6;;10,6;11,2;;11,2
3680407;27/05/2025;Picking Entrepot;40;;40;45,5;;45,5;48;;48
3680467;27/05/2025;Picking Entrepot;8;2;10;7,2;1,6;8,8;7,6;1,7;9,3
3680524;27/05/2025;Picking Entrepot;3;;3;2,8;;2,8;3;;3
3681595;27/05/2025;Picking Entrepot;5;;5;7,9;;7,9;8,3;;8,3
3681607;27/05/2025;Picking Entrepot;42;;42;53,6;;53,6;56,5;;56,5
3681614;27/05/2025;Picking Entrepot;11;;11;16,6;;16,6;17,4;;17,4
3685045;27/05/2025;Picking Entrepot;;6;6;;29,8;29,8;;35,7;35,7
3687051;27/05/2025;Picking Entrepot;70;;70;33,3;;33,3;35,1;;35,1
3687729;27/05/2025;Picking Entrepot;1;;1;4;;4;4,2;;4,2
3688659;27/05/2025;Picking Entrepot;4;;4;8,9;;8,9;9,4;;9,4
3689572;27/05/2025;Picking Entrepot;11;;11;18,7;;18,7;19,7;;19,7
3689584;27/05/2025;Picking Entrepot;12;;12;20,4;;20,4;21,5;;21,5
3690083;27/05/2025;Picking Entrepot;8;;8;8,3;;8,3;8,7;;8,7
3693245;27/05/2025;Picking Entrepot;;2;2;;8,9;8,9;;10,7;10,7
3693849;27/05/2025;Picking Entrepot;;22;22;;78,8;78,8;;94,6;94,6
3695583;27/05/2025;Picking Entrepot;31;;31;35;;35;36,9;;36,9
3695593;27/05/2025;Picking Entrepot;2;;2;2,6;;2,6;2,7;;2,7
3696204;27/05/2025;Picking Entrepot;6;;6;16,6;;16,6;17,5;;17,5
3697547;27/05/2025;Picking Entrepot;2;;2;5,3;;5,3;6,4;;6,4
3698044;27/05/2025;Picking Entrepot;7;;7;14,5;;14,5;15,3;;15,3
3698233;27/05/2025;Picking Entrepot;;2;2;;23,3;23,3;;27,9;27,9
3698387;27/05/2025;Picking Entrepot;2;;2;20,8;;20,8;25;;25
3698396;27/05/2025;Picking Entrepot;1;;1;4,6;;4,6;5,5;;5,5
3698673;27/05/2025;Picking Entrepot;1;;1;8,2;;8,2;9,8;;9,8
3699313;27/05/2025;Picking Entrepot;1;1;2;2,8;2,5;5,3;3;2,6;5,5
3699740;27/05/2025;Picking Entrepot;1;;1;0,9;;0,9;1;;1
3699921;27/05/2025;Picking Entrepot;6;;6;17;;17;17,9;;17,9
3699926;27/05/2025;Picking Entrepot;1;;1;5,6;;5,6;5,9;;5,9
3699981;27/05/2025;Picking Entrepot;31;;31;46,1;;46,1;48,6;;48,6
3701600;27/05/2025;Picking Entrepot;77;;77;53,9;;53,9;57;;57
3701831;27/05/2025;Picking Entrepot;8;;8;13,5;;13,5;14,2;;14,2
3703543;27/05/2025;Picking Entrepot;8;;8;22,8;;22,8;24,1;;24,1
3705957;27/05/2025;Picking Entrepot;2;;2;5,5;;5,5;5,8;;5,8
3707502;27/05/2025;Picking Entrepot;1;1;2;16,3;16,3;32,6;19,6;19,6;39,1
3707664;27/05/2025;Picking Entrepot;3;1;4;16,5;5,4;21,9;17,4;5,7;23,1
3710473;27/05/2025;Picking Entrepot;3;;3;35;;35;42;;42
3713115;27/05/2025;Picking Entrepot;5;;5;16,6;;16,6;17,4;;17,4
3717174;27/05/2025;Picking Entrepot;1;1;2;5,8;5,8;11,6;7;7;13,9
3717543;27/05/2025;Picking Entrepot;7;;7;17,4;;17,4;18,4;;18,4
3718349;27/05/2025;Picking Entrepot;18;;18;28,1;;28,1;29,7;;29,7
3718887;27/05/2025;Picking Entrepot;2;6;8;16,1;43,5;59,6;17;45,8;62,8
3719050;27/05/2025;Picking Entrepot;8;;8;18,4;;18,4;19,4;;19,4
3719167;27/05/2025;Picking Entrepot;8;;8;15,5;;15,5;16,4;;16,4
3720293;27/05/2025;Picking Entrepot;3;;3;3,7;;3,7;3,9;;3,9
3720780;27/05/2025;Picking Entrepot;31;44;75;58,3;70;128,3;69,8;84;153,8
3720866;27/05/2025;Picking Entrepot;2;1;3;7,5;3,7;11,2;7,9;3,9;11,8
3721256;27/05/2025;Picking Entrepot;1;;1;1;;1;1,1;;1,1
3721546;27/05/2025;Picking Entrepot;2;2;4;6,4;5,5;11,9;6,8;5,8;12,5
3721804;27/05/2025;Picking Entrepot;2;;2;8,8;;8,8;9,3;;9,3
3721934;27/05/2025;Picking Entrepot;2;1;3;11,8;4,9;16,7;14,2;5,8;20
3721978;27/05/2025;Picking Entrepot;1;;1;5,2;;5,2;6,2;;6,2
3722009;27/05/2025;Picking Entrepot;3;;3;11,2;;11,2;13,5;;13,5
3722341;27/05/2025;Picking Entrepot;;5;5;;24,4;24,4;;29,2;29,2
3725391;27/05/2025;Picking Entrepot;;2;2;;3,5;3,5;;3,7;3,7
3726384;27/05/2025;Picking Entrepot;12;;12;20,6;;20,6;21,8;;21,8
3726394;27/05/2025;Picking Entrepot;5;;5;24,8;;24,8;26,1;;26,1
3731154;27/05/2025;Picking Entrepot;6;;6;30,4;;30,4;32,1;;32,1
3732372;27/05/2025;Picking Entrepot;2;;2;3,9;;3,9;4,1;;4,1
3732981;27/05/2025;Picking Entrepot;1;;1;4,4;;4,4;4,7;;4,7
3734055;27/05/2025;Picking Entrepot;2;;2;11,7;;11,7;14;;14
3735579;27/05/2025;Picking Entrepot;2;;2;6;;6;6,3;;6,3
3735696;27/05/2025;Picking Entrepot;2;;2;35,6;;35,6;37,6;;37,6
3736286;27/05/2025;Picking Entrepot;1;;1;2,5;;2,5;2,7;;2,7
3737118;27/05/2025;Picking Entrepot;2;;2;2,5;;2,5;2,6;;2,6
3737557;27/05/2025;Picking Entrepot;2;;2;2,9;;2,9;3,1;;3,1
3737771;27/05/2025;Picking Entrepot;15;;15;10,1;;10,1;10,6;;10,6
3737809;27/05/2025;Picking Entrepot;30;;30;33,4;;33,4;35,2;;35,2
3737822;27/05/2025;Picking Entrepot;21;;21;16,3;;16,3;17,1;;17,1
3737842;27/05/2025;Picking Entrepot;23;;23;26,2;;26,2;27,7;;27,7
3740866;27/05/2025;Picking Entrepot;1;;1;2,8;;2,8;3;;3
3740986;27/05/2025;Picking Entrepot;7;;7;7,4;;7,4;7,8;;7,8
3741169;27/05/2025;Picking Entrepot;6;;6;20,6;;20,6;21,7;;21,7
3741179;27/05/2025;Picking Entrepot;79;;79;194,5;;194,5;233,3;;233,3
3741270;27/05/2025;Picking Entrepot;2;;2;7,6;;7,6;9,1;;9,1
3742059;27/05/2025;Picking Entrepot;4;7;11;6,3;11,7;18;6,6;12,4;19
3742060;27/05/2025;Picking Entrepot;;2;2;;4,7;4,7;;5;5
3742073;27/05/2025;Picking Entrepot;4;15;19;6,6;24,9;31,5;7;26,2;33,2
3742091;27/05/2025;Picking Entrepot;;6;6;;17,9;17,9;;18,8;18,8
3742100;27/05/2025;Picking Entrepot;9;68;77;14,3;96;110,3;15,1;101,4;116,5
3742159;27/05/2025;Picking Entrepot;1;13;14;2,2;25,3;27,6;2,4;26,7;29,1
3742310;27/05/2025;Picking Entrepot;;1;1;;2;2;;2,1;2,1
3742435;27/05/2025;Picking Entrepot;12;;12;14,7;;14,7;15,5;;15,5
3742447;27/05/2025;Picking Entrepot;2;;2;3,5;;3,5;3,7;;3,7
3742473;27/05/2025;Picking Entrepot;;1;1;;2,8;2,8;;2,9;2,9
3742589;27/05/2025;Picking Entrepot;3;;3;7,5;;7,5;7,9;;7,9
3742659;27/05/2025;Picking Entrepot;3;;3;8,4;;8,4;8,8;;8,8
3742782;27/05/2025;Picking Entrepot;4;;4;1,9;;1,9;2;;2
3742790;27/05/2025;Picking Entrepot;1;;1;2,3;;2,3;2,4;;2,4
3742815;27/05/2025;Picking Entrepot;2;5;7;2,8;6,2;9;3;6,5;9,5
3743092;27/05/2025;Picking Entrepot;13;;13;32,6;;32,6;34,4;;34,4
3744487;27/05/2025;Picking Entrepot;5;;5;4,3;;4,3;4,5;;4,5
3746727;27/05/2025;Picking Entrepot;1;1;2;0,9;0,9;1,9;1;1;2
3746799;27/05/2025;Picking Entrepot;4;1;5;6,4;1,4;7,8;6,7;1,5;8,2
3746835;27/05/2025;Picking Entrepot;1;1;2;1,6;1,4;2,9;1,6;1,4;3,1
3746932;27/05/2025;Picking Entrepot;27;;27;34,6;;34,6;36,5;;36,5
3747000;27/05/2025;Picking Entrepot;12;;12;8,7;;8,7;9,2;;9,2
3747028;27/05/2025;Picking Entrepot;26;;26;33,3;;33,3;35,1;;35,1
3747051;27/05/2025;Picking Entrepot;5;;5;6,4;;6,4;6,8;;6,8
3747101;27/05/2025;Picking Entrepot;3;;3;2,2;;2,2;2,3;;2,3
3747127;27/05/2025;Picking Entrepot;4;;4;5,1;;5,1;5,4;;5,4
3747224;27/05/2025;Picking Entrepot;18;;18;23;;23;24,3;;24,3
3747254;27/05/2025;Picking Entrepot;8;;8;5,3;;5,3;5,6;;5,6
3747309;27/05/2025;Picking Entrepot;17;;17;12,3;;12,3;12,9;;12,9
3747337;27/05/2025;Picking Entrepot;6;;6;4,9;;4,9;5,1;;5,1
3749012;27/05/2025;Picking Entrepot;2;;2;2,3;;2,3;2,4;;2,4
3749786;27/05/2025;Picking Entrepot;13;;13;19,3;;19,3;20,4;;20,4
3750115;27/05/2025;Picking Entrepot;;2;2;;13,2;13,2;;15,9;15,9
3750125;27/05/2025;Picking Entrepot;1;;1;3,3;;3,3;3,5;;3,5
3751858;27/05/2025;Picking Entrepot;5;;5;8,5;;8,5;8,9;;8,9
3758742;27/05/2025;Picking Entrepot;;16;16;;27,1;27,1;;28,6;28,6
3759408;27/05/2025;Picking Entrepot;2;;2;4,4;;4,4;4,7;;4,7
3759535;27/05/2025;Picking Entrepot;2;;2;3,5;;3,5;3,7;;3,7
3759551;27/05/2025;Picking Entrepot;14;;14;11,3;;11,3;11,9;;11,9
3760056;27/05/2025;Picking Entrepot;8;;8;4,5;;4,5;4,7;;4,7
3760789;27/05/2025;Picking Entrepot;1;;1;5,6;;5,6;5,9;;5,9
3761796;27/05/2025;Picking Entrepot;4;;4;14;;14;14,8;;14,8
3762434;27/05/2025;Picking Entrepot;11;;11;19,7;;19,7;20,8;;20,8
3762451;27/05/2025;Picking Entrepot;7;;7;5,3;;5,3;5,6;;5,6
3763066;27/05/2025;Picking Entrepot;;4;4;;12,7;12,7;;13,4;13,4
3764310;27/05/2025;Picking Entrepot;52;;52;36,9;;36,9;39;;39
3764319;27/05/2025;Picking Entrepot;2;;2;5,7;;5,7;6;;6
3764496;27/05/2025;Picking Entrepot;1;;1;2,9;;2,9;3,1;;3,1
3764509;27/05/2025;Picking Entrepot;1;;1;2,7;;2,7;2,9;;2,9
3764514;27/05/2025;Picking Entrepot;1;;1;3,2;;3,2;3,4;;3,4
3765368;27/05/2025;Picking Entrepot;2;;2;18,9;;18,9;20;;20
3769622;27/05/2025;Picking Entrepot;3;;3;4,5;;4,5;4,8;;4,8
3769723;27/05/2025;Picking Entrepot;1;;1;5,8;;5,8;6,2;;6,2
3772797;27/05/2025;Picking Entrepot;1;;1;0,8;;0,8;1;;1
3772928;27/05/2025;Picking Entrepot;1;;1;0,8;;0,8;1;;1
3772955;27/05/2025;Picking Entrepot;2;;2;1,7;;1,7;2;;2
3773455;27/05/2025;Picking Entrepot;3;;3;38,5;;38,5;46,2;;46,2
3777089;27/05/2025;Picking Entrepot;3;;3;6;;6;6,4;;6,4
3779028;27/05/2025;Picking Entrepot;1;;1;4,1;;4,1;4,3;;4,3
3780265;27/05/2025;Picking Entrepot;9;;9;39,4;;39,4;47,2;;47,2
3781323;27/05/2025;Picking Entrepot;1;11;12;2,2;19,3;21,5;2,3;20,4;22,6
3781449;27/05/2025;Picking Entrepot;1;;1;5;;5;6;;6
3781801;27/05/2025;Picking Entrepot;2;;2;7,3;;7,3;7,7;;7,7
3783723;27/05/2025;Picking Entrepot;1;;1;3;;3;3,6;;3,6
3784042;27/05/2025;Picking Entrepot;3;;3;13,7;;13,7;14,4;;14,4
3784149;27/05/2025;Picking Entrepot;1;;1;6,8;;6,8;7,2;;7,2
3784593;27/05/2025;Picking Entrepot;;3;3;;14,1;14,1;;14,9;14,9
3789104;27/05/2025;Picking Entrepot;1;;1;2,1;;2,1;2,5;;2,5
3791064;27/05/2025;Picking Entrepot;1;2;3;2,3;3,9;6,2;2,4;4,1;6,5
3791630;27/05/2025;Picking Entrepot;1;;1;3,2;;3,2;3,4;;3,4
3793461;27/05/2025;Picking Entrepot;1;7;8;3,1;19,5;22,6;3,3;21,1;24,3
3793925;27/05/2025;Picking Entrepot;7;;7;19,6;;19,6;20,7;;20,7
3797147;27/05/2025;Picking Entrepot;7;;7;18,8;;18,8;22,6;;22,6
3798013;27/05/2025;Picking Entrepot;;1;1;;4,5;4,5;;5,3;5,3
3799366;27/05/2025;Picking Entrepot;6;;6;12,2;;12,2;12,9;;12,9
3800009;27/05/2025;Picking Entrepot;8;;8;14,6;;14,6;15,4;;15,4
3801673;27/05/2025;Picking Entrepot;2;;2;4,6;;4,6;4,9;;4,9
3804070;27/05/2025;Picking Entrepot;7;;7;23,6;;23,6;28,3;;28,3
3804612;27/05/2025;Picking Entrepot;;3;3;;5,7;5,7;;6;6
3807660;27/05/2025;Picking Entrepot;3;;3;1,9;;1,9;2;;2
3808850;27/05/2025;Picking Entrepot;1;;1;3,8;;3,8;4;;4
3823316;27/05/2025;Picking Entrepot;17;;17;25,6;;25,6;27;;27
3823350;27/05/2025;Picking Entrepot;54;;54;76,2;;76,2;80,5;;80,5
3823351;27/05/2025;Picking Entrepot;2;;2;6,2;;6,2;7,5;;7,5
3824006;27/05/2025;Picking Entrepot;2;;2;5,6;;5,6;5,9;;5,9
3825157;27/05/2025;Picking Entrepot;6;;6;13,6;;13,6;14,3;;14,3
3829860;27/05/2025;Picking Entrepot;3;;3;12,4;;12,4;13,1;;13,1
3830478;27/05/2025;Picking Entrepot;26;;26;57,1;;57,1;60,2;;60,2
