CDBASE;DATE_Livraison;PICKING;QTE_Permanent;QTE_Promo;QTE_totale;CA_HT_Permanent;CA_HT_Promo;CA_HT_total;CA_TTC_Permanent;CA_TTC_Promo;CA_TTC_total
26177;27/05/2025;Picking Entrepot;8;;8;6,5;;6,5;6,9;;6,9
26200;27/05/2025;Picking Entrepot;6;;6;9,9;;9,9;10,4;;10,4
26203;27/05/2025;Picking Entrepot;29;;29;46,5;;46,5;49;;49
27140;27/05/2025;Picking Entrepot;;4;4;;16,6;16,6;;20;20
27951;27/05/2025;Picking Entrepot;5;;5;23,5;;23,5;24,8;;24,8
27953;27/05/2025;Picking Entrepot;2;;2;3,4;;3,4;3,5;;3,5
27976;27/05/2025;Picking Entrepot;5;;5;16,1;;16,1;19,2;;19,2
28033;27/05/2025;Picking Entrepot;5;;5;11,1;;11,1;11,8;;11,8
28115;27/05/2025;Picking Entrepot;;8;8;;16;16;;16,9;16,9
28124;27/05/2025;Picking Entrepot;;2;2;;10,8;10,8;;12,9;12,9
28157;27/05/2025;Picking Entrepot;13;;13;15,9;;15,9;16,8;;16,8
28160;27/05/2025;Picking Entrepot;5;;5;7;;7;7,4;;7,4
28444;27/05/2025;Picking Entrepot;3;12;15;44,8;178,9;223,6;53,7;214,7;268,4
28466;27/05/2025;Picking Entrepot;1;;1;14,9;;14,9;17,9;;17,9
28532;27/05/2025;Picking Entrepot;1;;1;1,2;;1,2;1,3;;1,3
28875;27/05/2025;Picking Entrepot;2;;2;2,4;;2,4;2,5;;2,5
29109;27/05/2025;Picking Entrepot;;1;1;;2,7;2,7;;2,8;2,8
29444;27/05/2025;Picking Entrepot;2;;2;10,4;;10,4;11;;11
29932;27/05/2025;Picking Entrepot;;1;1;;2,5;2,5;;2,6;2,6
30666;27/05/2025;Picking Entrepot;3;4;7;5;6,6;11,6;5,2;7;12,2
30692;27/05/2025;Picking Entrepot;4;;4;10,4;;10,4;11;;11
30924;27/05/2025;Picking Entrepot;;6;6;;16,2;16,2;;17,1;17,1
31011;27/05/2025;Picking Entrepot;2;;2;5,9;;5,9;6,2;;6,2
31040;27/05/2025;Picking Entrepot;53;;53;60,3;;60,3;63,7;;63,7
31497;27/05/2025;Picking Entrepot;;3;3;;7,7;7,7;;8,1;8,1
31499;27/05/2025;Picking Entrepot;1;;1;1,7;;1,7;1,8;;1,8
32812;27/05/2025;Picking Entrepot;12;;12;22,6;;22,6;23,8;;23,8
32814;27/05/2025;Picking Entrepot;15;18;33;40,8;48;88,8;43,1;50,6;93,7
32816;27/05/2025;Picking Entrepot;3;6;9;8,2;15,9;24,1;8,7;16,8;25,5
33007;27/05/2025;Picking Entrepot;1;;1;2,3;;2,3;2,5;;2,5
33177;27/05/2025;Picking Entrepot;1;;1;2,5;;2,5;2,6;;2,6
33942;27/05/2025;Picking Entrepot;3;;3;3,3;;3,3;3,5;;3,5
34954;27/05/2025;Picking Entrepot;3;;3;5;;5;5,3;;5,3
35586;27/05/2025;Picking Entrepot;6;;6;6,8;;6,8;7,1;;7,1
35813;27/05/2025;Picking Entrepot;2;;2;6,5;;6,5;6,9;;6,9
36573;27/05/2025;Picking Entrepot;26;;26;43,9;;43,9;46,3;;46,3
36594;27/05/2025;Picking Entrepot;7;;7;18;;18;19;;19
36676;27/05/2025;Picking Entrepot;8;;8;9,6;;9,6;10,1;;10,1
36736;27/05/2025;Picking Entrepot;14;;14;20,8;;20,8;21,9;;21,9
37085;27/05/2025;Picking Entrepot;9;;9;16,4;;16,4;17,3;;17,3
37087;27/05/2025;Picking Entrepot;5;;5;9;;9;9,5;;9,5
37116;27/05/2025;Picking Entrepot;3;;3;5,4;;5,4;5,7;;5,7
37257;27/05/2025;Picking Entrepot;1;;1;7,6;;7,6;8;;8
37393;27/05/2025;Picking Entrepot;1;;1;2,6;;2,6;2,8;;2,8
37695;27/05/2025;Picking Entrepot;3;;3;2,8;;2,8;3;;3
38070;27/05/2025;Picking Entrepot;23;2;25;82,6;7,2;89,8;87,2;7,6;94,8
38687;27/05/2025;Picking Entrepot;1;;1;4,5;;4,5;4,8;;4,8
39870;27/05/2025;Picking Entrepot;4;;4;9,9;;9,9;10,5;;10,5
39964;27/05/2025;Picking Entrepot;5;;5;9,5;;9,5;10;;10
39975;27/05/2025;Picking Entrepot;2;;2;3,7;;3,7;3,9;;3,9
41164;27/05/2025;Picking Entrepot;3;;3;8,7;;8,7;9,2;;9,2
41731;27/05/2025;Picking Entrepot;;2;2;;23;23;;27,6;27,6
41827;27/05/2025;Picking Entrepot;1;;1;2,7;;2,7;3,3;;3,3
42138;27/05/2025;Picking Entrepot;1;;1;1,6;;1,6;1,9;;1,9
42600;27/05/2025;Picking Entrepot;12;2;14;18;3;21;19;3,2;22,2
43793;27/05/2025;Picking Entrepot;3;;3;4,2;;4,2;4,5;;4,5
43968;27/05/2025;Picking Entrepot;14;;14;26,8;;26,8;28,3;;28,3
43978;27/05/2025;Picking Entrepot;1;;1;14;;14;16,8;;16,8
45099;27/05/2025;Picking Entrepot;19;;19;23,2;;23,2;27,9;;27,9
46145;27/05/2025;Picking Entrepot;1;;1;3,2;;3,2;3,4;;3,4
48950;27/05/2025;Picking Entrepot;1;;1;2,7;;2,7;2,9;;2,9
48951;27/05/2025;Picking Entrepot;10;;10;16,6;;16,6;19,9;;19,9
50172;27/05/2025;Picking Entrepot;9;;9;25,9;;25,9;27,4;;27,4
51125;27/05/2025;Picking Entrepot;2;;2;3,2;;3,2;3,4;;3,4
51829;27/05/2025;Picking Entrepot;6;;6;47,5;;47,5;50,1;;50,1
51965;27/05/2025;Picking Entrepot;;5;5;;10,2;10,2;;10,8;10,8
52773;27/05/2025;Picking Entrepot;1;;1;4,1;;4,1;4,3;;4,3
54388;27/05/2025;Picking Entrepot;1;;1;5,4;;5,4;5,7;;5,7
55811;27/05/2025;Picking Entrepot;2;;2;8,9;;8,9;9,4;;9,4
56117;27/05/2025;Picking Entrepot;19;;19;14,1;;14,1;16,9;;16,9
56322;27/05/2025;Picking Entrepot;9;;9;12,5;;12,5;13,2;;13,2
56409;27/05/2025;Picking Entrepot;9;;9;38,4;;38,4;46;;46
56705;27/05/2025;Picking Entrepot;2;;2;6,1;;6,1;6,4;;6,4
57278;27/05/2025;Picking Entrepot;1;;1;13,1;;13,1;15,7;;15,7
57424;27/05/2025;Picking Entrepot;11;;11;28,3;;28,3;29,9;;29,9
57515;27/05/2025;Picking Entrepot;7;;7;5,5;;5,5;5,8;;5,8
57722;27/05/2025;Picking Entrepot;2;;2;5,9;;5,9;6,2;;6,2
57731;27/05/2025;Picking Entrepot;1;3;4;1,9;5,7;7,5;2;6;8
57743;27/05/2025;Picking Entrepot;7;;7;5,6;;5,6;5,9;;5,9
58079;27/05/2025;Picking Entrepot;4;;4;12,7;;12,7;13,4;;13,4
58080;27/05/2025;Picking Entrepot;1;;1;3,8;;3,8;4;;4
58198;27/05/2025;Picking Entrepot;9;;9;12,2;;12,2;12,8;;12,8
58373;27/05/2025;Picking Entrepot;9;;9;14,9;;14,9;15,8;;15,8
58540;27/05/2025;Picking Entrepot;;16;16;;76;76;;91,2;91,2
59189;27/05/2025;Picking Entrepot;3;;3;4,7;;4,7;5;;5
61436;27/05/2025;Picking Entrepot;3;;3;4,2;;4,2;4,5;;4,5
63031;27/05/2025;Picking Entrepot;7;;7;5,3;;5,3;5,6;;5,6
63057;27/05/2025;Picking Entrepot;5;12;17;11,2;26,7;37,9;11,8;28,2;40
63168;27/05/2025;Picking Entrepot;1;1;2;2;1,4;3,3;2,1;1,4;3,5
64614;27/05/2025;Picking Entrepot;1;;1;2,5;;2,5;2,6;;2,6
65573;27/05/2025;Picking Entrepot;12;;12;14,3;;14,3;15,1;;15,1
66473;27/05/2025;Picking Entrepot;9;;9;8,3;;8,3;8,7;;8,7
69478;27/05/2025;Picking Entrepot;1;;1;2,2;;2,2;2,3;;2,3
69708;27/05/2025;Picking Entrepot;3;;3;6;;6;6,3;;6,3
71581;27/05/2025;Picking Entrepot;2;;2;27,4;;27,4;32,8;;32,8
72445;27/05/2025;Picking Entrepot;3;;3;23,1;;23,1;27,7;;27,7
73800;27/05/2025;Picking Entrepot;3;;3;10,3;;10,3;10,9;;10,9
73802;27/05/2025;Picking Entrepot;3;;3;10,2;;10,2;10,7;;10,7
75184;27/05/2025;Picking Entrepot;14;;14;34,6;;34,6;36,5;;36,5
79024;27/05/2025;Picking Entrepot;1;;1;2,3;;2,3;2,8;;2,8
79380;27/05/2025;Picking Entrepot;1;;1;0,9;;0,9;1;;1
81739;27/05/2025;Picking Entrepot;2;;2;1,9;;1,9;2;;2
85179;27/05/2025;Picking Entrepot;2;;2;7;;7;7,4;;7,4
88061;27/05/2025;Picking Entrepot;5;;5;6,6;;6,6;8;;8
88123;27/05/2025;Picking Entrepot;11;;11;23,1;;23,1;24,4;;24,4
90675;27/05/2025;Picking Entrepot;;4;4;;7,3;7,3;;7,7;7,7
90677;27/05/2025;Picking Entrepot;1;8;9;1,8;14,5;16,3;1,9;15,3;17,2
91004;27/05/2025;Picking Entrepot;2;;2;21,4;;21,4;22,5;;22,5
91199;27/05/2025;Picking Entrepot;4;;4;8,2;;8,2;8,6;;8,6
91467;27/05/2025;Picking Entrepot;6;;6;9,1;;9,1;9,5;;9,5
91987;27/05/2025;Picking Entrepot;;4;4;;5,5;5,5;;5,8;5,8
91989;27/05/2025;Picking Entrepot;1;5;6;2,8;13,9;16,8;3;14,7;17,7
94124;27/05/2025;Picking Entrepot;4;;4;16,1;;16,1;17;;17
97291;27/05/2025;Picking Entrepot;12;;12;26,7;;26,7;28,1;;28,1
103349;27/05/2025;Picking Entrepot;9;;9;16,6;;16,6;17,6;;17,6
103505;27/05/2025;Picking Entrepot;1;;1;1,9;;1,9;1,9;;1,9
106606;27/05/2025;Picking Entrepot;1;;1;3,7;;3,7;3,9;;3,9
107186;27/05/2025;Picking Entrepot;;2;2;;4,1;4,1;;4,3;4,3
107722;27/05/2025;Picking Entrepot;2;;2;8,3;;8,3;8,7;;8,7
107755;27/05/2025;Picking Entrepot;2;;2;5,3;;5,3;5,6;;5,6
108226;27/05/2025;Picking Entrepot;1;;1;2,1;;2,1;2,2;;2,2
108229;27/05/2025;Picking Entrepot;13;;13;34;;34;35,9;;35,9
108982;27/05/2025;Picking Entrepot;8;;8;14,1;;14,1;14,9;;14,9
108986;27/05/2025;Picking Entrepot;4;;4;8,4;;8,4;8,9;;8,9
109508;27/05/2025;Picking Entrepot;4;;4;26,7;;26,7;28,2;;28,2
112804;27/05/2025;Picking Entrepot;4;14;18;4;14;18;4,2;14,7;18,9
112805;27/05/2025;Picking Entrepot;;6;6;;6;6;;6,3;6,3
112807;27/05/2025;Picking Entrepot;1;4;5;1;4;5;1,1;4,2;5,2
112820;27/05/2025;Picking Entrepot;;10;10;;27;27;;28,5;28,5
112821;27/05/2025;Picking Entrepot;;5;5;;13,4;13,4;;14,2;14,2
118702;27/05/2025;Picking Entrepot;7;;7;27,4;;27,4;32,8;;32,8
118745;27/05/2025;Picking Entrepot;2;1;3;4;2;5,9;4,2;2,1;6,3
118750;27/05/2025;Picking Entrepot;2;;2;4;;4;4,2;;4,2
119830;27/05/2025;Picking Entrepot;10;1;11;19,7;2;21,7;20,8;2,1;22,9
120632;27/05/2025;Picking Entrepot;1;;1;2,2;;2,2;2,3;;2,3
123801;27/05/2025;Picking Entrepot;1;;1;1,7;;1,7;2,1;;2,1
123822;27/05/2025;Picking Entrepot;8;;8;9,8;;9,8;11,8;;11,8
123851;27/05/2025;Picking Entrepot;4;;4;5,8;;5,8;7;;7
123958;27/05/2025;Picking Entrepot;1;;1;2,1;;2,1;2,2;;2,2
124025;27/05/2025;Picking Entrepot;1;;1;2,5;;2,5;2,6;;2,6
127848;27/05/2025;Picking Entrepot;2;;2;14;;14;14,8;;14,8
134632;27/05/2025;Picking Entrepot;3;;3;5;;5;5,3;;5,3
136011;27/05/2025;Picking Entrepot;22;;22;100,1;;100,1;120,1;;120,1
138714;27/05/2025;Picking Entrepot;4;;4;7,5;;7,5;7,9;;7,9
138725;27/05/2025;Picking Entrepot;1;;1;1,9;;1,9;2;;2
139141;27/05/2025;Picking Entrepot;4;;4;7,5;;7,5;7,9;;7,9
141762;27/05/2025;Picking Entrepot;;3;3;;8,2;8,2;;9,9;9,9
