CLASSE_STOCKAGE;DATE_LIVRAISON;QUANTITE_CONFIRMEE
1060;30/05/2025;35944645
1064;30/05/2025;743445
1080;30/05/2025;9150316
1064;28/05/2025;745091
1070;28/05/2025;29598
1070;31/05/2025;5027148
1070;30/05/2025;10788475
1060;31/05/2025;621956
1061;28/05/2025;408191
1061;30/05/2025;632800
1070;02/06/2025;101878
1060;28/05/2025;37100567
1071;31/05/2025;163475
1071;30/05/2025;2184877
1071;02/06/2025;5740
