CLASSE_STOCKAGE;DATE_LIVRAISON;QUANTITE_CONFIRMEE
1060;30/05/2025;30637890
1064;30/05/2025;743638
1060;02/06/2025;9840
1060;29/05/2025;9915
1060;03/06/2025;377354
1070;31/05/2025;9390603
1070;30/05/2025;19692
1060;31/05/2025;28097835
1061;30/05/2025;348754
1080;31/05/2025;8631871
1070;02/06/2025;1904544
1071;31/05/2025;1956381
1071;02/06/2025;67980
1061;31/05/2025;613591
1070;03/06/2025;516267
1064;29/05/2025;9800
1064;31/05/2025;739013
