CDBASE;FOURNISSEUR;DATE_LIVRAISON;STOCK;RAL;MINIMUM_COMMANDE;PCB;QTÉPRÉVISION1;QTÉPRÉVISION2;CLASSE_STOCKAGE;COCHE_RAO;STOCK_MARCHAND;QTÉPRÉVISIONINIT1;QTÉPRÉVISIONINIT2;QTÉPROPOSÉE1;QTÉPROPOSÉE2;NUMERO_COMMANDE;DATE_L2;DATE_COMMANDE;QTÉPROPOSÉEFINALE;STOCK_REEL;CDBASE2;NUMERO_COMMANDE2;IFLS
13647;522;31/05/2025;13;;12;12;0,11;0,02;1060;54;9999;0,11;0,02;9986,14;9999,02;1612900;02/06/2025;28/05/2025;9986;13;13647;1612900;617371              
13648;522;31/05/2025;322;216;108;108;1,98;0,45;1064;54;9999;1,98;0,45;9463,47;9999,45;1612897;02/06/2025;28/05/2025;9463;322;13648;1612897;158561              
13651;794;31/05/2025;0;;12;12;0;0;1060;46;0;0;0;0;0;1612946;02/06/2025;28/05/2025;0;0;13651;1612946;599342              
13652;794;31/05/2025;0;;12;12;0;0;1060;46;0;0;0;0;0;1612946;02/06/2025;28/05/2025;0;0;13652;1612946;599434              
18087;509;30/05/2025;29;12;24;12;15,07;6,44;1060;46;9999;15,07;6,44;9973,4;10005,44;1612891;31/05/2025;28/05/2025;9973;34;18087;1612891;981889              
20053;509;30/05/2025;24;72;36;12;30,27;11,56;1060;54;9999;30,27;11,56;9933,27;10010,56;1612891;31/05/2025;28/05/2025;9933;38;20053;1612891;674469              
20153;509;29/05/2025;0;;20;20;0;0;1060;46;0;0;0;0;0;1612890;30/05/2025;28/05/2025;0;0;20153;1612890;907780              
20233;794;31/05/2025;26;;18;6;0,06;0,02;1060;46;9999;0,06;0,02;9973,07;9999,02;1612946;02/06/2025;28/05/2025;9973;26;20233;1612946;684161              
20300;794;31/05/2025;21;12;12;6;0,22;0,05;1060;54;9999;0,23;0,05;9966,29;9999,05;1612946;02/06/2025;28/05/2025;9966;21;20300;1612946;310024              
20306;794;31/05/2025;19;;6;6;0,07;0,02;1060;54;9999;0,07;0,02;9980,08;9999,02;1612946;02/06/2025;28/05/2025;9980;19;20306;1612946;502661              
20323;509;30/05/2025;0;;24;6;23,34;9,67;1060;46;37;23,34;9,67;60,34;46,67;1612891;31/05/2025;28/05/2025;47;0;20323;1612891;061936              
20324;509;30/05/2025;0;;12;6;7,39;2,67;1060;54;20;7,39;2,67;27,39;22,67;1612891;31/05/2025;28/05/2025;23;0;20324;1612891;202222              
20327;509;30/05/2025;72;90;30;6;85,7;39,22;1060;54;9999;85,7;39,22;9922,7;10038,22;1612891;31/05/2025;28/05/2025;9923;99;20327;1612891;062035              
