CODE_FOURNISSEUR;NO_COMMANDE_FOURNISSEUR;CODE_RAYON;CLASSE_STOCKAGE;SITUATION_COMMANDE;DATE_COMMANDE;DATE_LIVRAISON;CDBASE;EAN;LIBELLÉ_ARTICLE;QUANTITE_CONFIRMEE;STOCK_MARCHAND;STOCK;RAL
691;1611962;;1070;3;26/05/2025;28/05/2025;7536917;3154230809685;LE BON PARIS FUME 4T 140G;50;206;100;60
691;1611962;;1070;3;26/05/2025;28/05/2025;123591;3045320074864;4X100G POMME RHUBARBE AND;48;152;0;108
691;1611962;;1070;3;26/05/2025;28/05/2025;295306;3045320080216;4X100G POMME VANILLE AND;60;122;18;48
691;1611962;;1070;3;26/05/2025;28/05/2025;479056;3045320082135;4X100G POMME NATURE MCX AND;24;59;26;12
691;1611962;;1070;3;26/05/2025;28/05/2025;596566;3045320077445;4X100G POMME FRAMBOISE AND;48;150;58;48
691;1611962;;1070;3;26/05/2025;28/05/2025;1607458;3456770005382;6X150G YA FRUITS PANACHES;28;96;24;46
691;1611962;;1070;3;26/05/2025;28/05/2025;1641632;3270190216797;4X80G MOUS LIEG CHO CRF EXT;18;71;43;12
691;1611962;;1070;3;26/05/2025;28/05/2025;2132429;3456770316105;2X150G YA NOIX DE COCO MN;24;105;59;24
691;1611962;;1070;3;26/05/2025;28/05/2025;2132435;3456770316143;2X150G YA ANANAS PASSION;24;79;33;24
691;1611962;;1070;3;26/05/2025;28/05/2025;2725895;3045320104196;1L ANANAS ANDROS;24;25;3;0
691;1611962;;1070;3;26/05/2025;28/05/2025;2725898;3045320104172;1L PET JUS CLEMENTINES ANDROS;54;165;18;96
691;1611962;;1070;3;26/05/2025;28/05/2025;2727988;3045320104127;1L PET JUS ORANGE ANDROS;36;186;123;30
691;1611962;;1070;3;26/05/2025;28/05/2025;2727995;3045320104158;1L PET JUS PAMPLEMOUSSE ANDROS;36;100;0;66
691;1611963;;1070;3;26/05/2025;30/05/2025;6599448;3161711001971;300G CAPRICE DES  DIEUX;120;487;304;72
691;1611963;;1070;3;26/05/2025;30/05/2025;6920981;3341504005540;125G PORTION SAINT AGUR;28;204;111;70
691;1611963;;1070;3;26/05/2025;30/05/2025;6935902;3272770014656;10 PORTIONS TARTARE AFH;60;242;126;60
691;1611963;;1070;3;26/05/2025;30/05/2025;7628154;3480341004740;300G BRESSE BLEU VERITABLE RSE;40;200;124;40
691;1611963;;1070;3;26/05/2025;30/05/2025;182770;3227291010120;2X500G P D T  RONDE BARQ LUNOR;24;52;7;24
691;1611963;;1071;3;26/05/2025;30/05/2025;2177313;3245390166142;300G AIGUILLETT CND CRU BQ RDF;50;105;28;30
691;1611963;;1070;3;26/05/2025;30/05/2025;2764115;3245412847059;6 OEUFS MOYEN LABEL R  CRF ORI;48;187;48;96
691;1611963;;1071;3;26/05/2025;30/05/2025;4772586;3560070773275;12 OEUFS MOYEN LABEL R;560;1082;0;560
691;1611963;;1070;3;26/05/2025;30/05/2025;5166692;3560070896400;2 X 120G TARTE FLAMBEE RDF;12;134;59;66
691;1611963;;1071;3;26/05/2025;30/05/2025;6057638;3560071012519;600G TARTE FLAMBEE RDF;12;75;35;30
691;1611963;;1070;3;26/05/2025;30/05/2025;6057639;3560071012502;350G TARTE FLAMBEE CRF ORIGINA;24;79;33;24
691;1611963;;1071;3;26/05/2025;30/05/2025;7935414;3180950019554;580G FLAMMEKUECHE L'ORIGINALE;12;90;69;12
691;1611966;19;1060;3;26/05/2025;30/05/2025;8007515;3178530426762;500G MADELEINES MOELLEUSES NA;8;16;2;8
691;1611966;19;1060;3;26/05/2025;30/05/2025;8026196;3178530427219;TENDRES COEURS NAPPES CHOCOLAT;10;17;0;10
794;1611982;;1060;3;26/05/2025;28/05/2025;5023591;3560070815470;200ML SPRAY DEMELANT ENF CRF K;36;33;0;0
794;1611982;;1060;3;26/05/2025;28/05/2025;20300;3012996012001;70CL SUCRE CANNE LIQID CANADOU;12;47;13;24
794;1611982;;1060;3;26/05/2025;28/05/2025;21126;5010106113127;70CL WHISKY 40 V BALLANTINES;12;23;13;66
794;1611982;;1060;3;26/05/2025;28/05/2025;21196;3038353911909;1/2 QUENEL BROCHET SCE NANTUA;36;62;53;0
794;1611982;;1060;3;26/05/2025;28/05/2025;21198;3038353912203;1/2 QUENEL VEAU/FINANC PTJEAN;24;35;40;0
794;1611982;;1060;3;26/05/2025;28/05/2025;21225;3103220006603;200G STARMINT HARIBO;30;60;29;30
794;1611982;;1060;3;26/05/2025;28/05/2025;21313;3193460000011;75CL MUSCAT FRONTIGNAN AOC;12;24;14;0
