EAN;TS_1_Mois;TS_2_Mois;TS_3_Mois;TS_Final;TS_1_Semaine;TS_Final_V2
3011360030108;;67%;57%;67%;;67%
3011360030498;100%;100%;100%;100%;100%;100%
3011360030504;100%;100%;100%;100%;100%;100%
3011360031853;100%;100%;100%;100%;;100%
3011360031914;;100%;100%;100%;;100%
3011360083302;100%;100%;100%;100%;100%;100%
3011360084781;;100%;100%;100%;;100%
3011610056377;100%;100%;100%;100%;;100%
3011932000805;;;100%;100%;;100%
3011932000829;;;100%;100%;;100%
3011932009952;;100%;100%;100%;;100%
3011932023835;100%;100%;100%;100%;100%;100%
3011932034701;100%;100%;100%;100%;;100%
3011932034732;100%;100%;100%;100%;;100%
3011932034848;100%;100%;100%;100%;;100%
3012990026301;100%;100%;100%;100%;;100%
3012990026400;100%;100%;100%;100%;;100%
3012991301001;100%;100%;100%;100%;100%;100%
3012991302039;100%;100%;100%;100%;100%;100%
3012992112033;23%;39%;61%;23%;;23%
3012992122049;;;100%;100%;;100%
3012992132048;;;100%;100%;;100%
3012992172006;;;100%;100%;;100%
3012992421005;76%;69%;76%;76%;100%;100%
3012992422002;100%;100%;100%;100%;;100%
3012993024939;100%;84%;78%;100%;100%;100%
3012993028289;100%;61%;67%;100%;100%;100%
3012993035508;43%;58%;74%;43%;100%;100%
3012993035553;100%;100%;100%;100%;100%;100%
3012993045590;100%;100%;100%;100%;;100%
3012993059320;100%;100%;100%;100%;100%;100%
3012993067356;;;100%;100%;;100%
3012993070776;100%;100%;100%;100%;100%;100%
3012993077546;100%;100%;100%;100%;100%;100%
3012993088627;;;100%;100%;;100%
3012996012001;93%;96%;97%;93%;100%;100%
3014230002076;100%;100%;100%;100%;100%;100%
3014230002601;100%;100%;100%;100%;100%;100%
3014230002625;100%;100%;100%;100%;;100%
3014230021039;;100%;100%;100%;;100%
3014230021237;100%;100%;100%;100%;;100%
3014230021404;100%;100%;100%;100%;;100%
3014230022401;100%;100%;100%;100%;;100%
3014260293253;100%;100%;100%;100%;100%;100%
3014260596989;100%;100%;100%;100%;;100%
3014680004521;;0%;0%;0%;;0%
3014680009175;;0%;39%;0%;;0%
3015810589284;100%;100%;100%;100%;100%;100%
3017230000059;100%;93%;94%;100%;100%;100%
3017233001008;100%;100%;91%;100%;99%;99%
3017233002005;100%;100%;100%;100%;100%;100%
3017239003723;100%;100%;100%;100%;100%;100%
3017239003860;100%;100%;85%;100%;100%;100%
3017239004188;100%;100%;100%;100%;100%;100%
3017239004836;;100%;100%;100%;;100%
3017239004898;100%;100%;100%;100%;100%;100%
3017239005215;;;100%;100%;;100%
3017239005321;;43%;43%;43%;;43%
3017239005338;;100%;100%;100%;;100%
3017561550018;100%;100%;100%;100%;100%;100%
3017561550025;100%;100%;100%;100%;;100%
3017561550032;100%;100%;100%;100%;;100%
3017561600010;100%;100%;100%;100%;100%;100%
3017561600034;100%;100%;100%;100%;100%;100%
3017565100073;100%;100%;100%;100%;;100%
3017620422003;100%;100%;100%;100%;100%;100%
3017620425035;100%;100%;100%;100%;100%;100%
3017620429484;100%;100%;100%;100%;;100%
3017620721922;100%;100%;100%;100%;100%;100%
3017760000062;100%;100%;100%;100%;100%;100%
3017760002035;;;100%;100%;;100%
3017760002905;100%;100%;100%;100%;100%;100%
3017760015097;100%;100%;100%;100%;100%;100%
3017760015264;88%;93%;93%;88%;100%;100%
3017760021524;100%;100%;100%;100%;100%;100%
3017760030106;100%;100%;100%;100%;100%;100%
3017760038331;100%;100%;100%;100%;100%;100%
3017760038379;100%;100%;100%;100%;100%;100%
3017760038584;100%;100%;100%;100%;100%;100%
3017760038676;100%;100%;100%;100%;100%;100%
3017760221580;100%;100%;100%;100%;100%;100%
3017760221597;100%;100%;100%;100%;100%;100%
3017760306492;100%;100%;100%;100%;100%;100%
3017760314497;100%;96%;97%;100%;100%;100%
3017760329798;100%;100%;100%;100%;100%;100%
3017760361194;100%;96%;45%;100%;100%;100%
3017760363990;100%;100%;100%;100%;100%;100%
3017760381598;100%;100%;100%;100%;100%;100%
3017760419390;100%;100%;100%;100%;;100%
3017760459594;100%;100%;100%;100%;100%;100%
3017760494298;100%;94%;96%;100%;100%;100%
3017760497398;100%;100%;99%;100%;100%;100%
3017760502399;100%;100%;65%;100%;;100%
3017760542890;99%;99%;99%;99%;100%;100%
3017760589895;100%;100%;100%;100%;100%;100%
3017760595193;100%;100%;100%;100%;100%;100%
3017760603997;100%;100%;100%;100%;100%;100%
