CDBASE;FOURNISSEUR;DATE_LIVRAISON;STOCK;RAL;MINIMUM_COMMANDE;PCB;QTÉPRÉVISION1;QTÉPRÉVISION2;CLASSE_STOCKAGE;COCHE_RAO;STOCK_MARCHAND;QTÉPRÉVISIONINIT1;QTÉPRÉVISIONINIT2;QTÉPROPOSÉE1;QTÉPROPOSÉE2;NUMERO_COMMANDE;DATE_L2;DATE_COMMANDE;QTÉPROPOSÉEFINALE;STOCK_REEL;CDBASE2;NUMERO_COMMANDE2;IFLS
13647;522;30/05/2025;21;;12;12;0,12;0,03;1060;54;9999;0,12;0,03;9978,14;9999,03;1612284;31/05/2025;27/05/2025;9978;21;13647;1612284;617371              
13648;522;30/05/2025;381;216;108;108;2,01;0,7;1064;54;9999;2,01;0,7;9403,55;9999,7;1612281;31/05/2025;27/05/2025;9404;382;13648;1612281;158561              
13651;794;30/05/2025;0;;12;12;0;0;1060;46;0;0;0;0;0;1612326;31/05/2025;27/05/2025;0;0;13651;1612326;599342              
13652;794;30/05/2025;0;;12;12;0;0;1060;46;0;0;0;0;0;1612326;31/05/2025;27/05/2025;0;0;13652;1612326;599434              
18087;509;28/05/2025;36;;24;12;13,96;8,62;1060;54;9999;13,96;8,62;9977,4;10007,62;1612276;30/05/2025;27/05/2025;9977;40;18087;1612276;981889              
20053;509;28/05/2025;35;36;36;12;32,71;18,71;1060;54;9999;32,71;18,71;9960,49;10017,71;1612276;30/05/2025;27/05/2025;9960;47;20053;1612276;674469              
20153;509;28/05/2025;0;;20;20;0;0;1060;46;0;0;0;0;0;1612276;29/05/2025;27/05/2025;0;0;20153;1612276;907780              
20233;794;30/05/2025;26;;18;6;0,05;0,02;1060;54;9999;0,05;0,02;9973,07;9999,02;1612326;31/05/2025;27/05/2025;9973;26;20233;1612326;684161              
20300;794;30/05/2025;20;24;12;6;0,24;0,07;1060;54;9999;0,23;0,07;9955,29;9999,07;1612326;31/05/2025;27/05/2025;9955;20;20300;1612326;310024              
20306;794;30/05/2025;19;;6;6;0,06;0,03;1060;54;9999;0,06;0,03;9980,07;9999,03;1612326;31/05/2025;27/05/2025;9980;19;20306;1612326;502661              
20323;509;28/05/2025;0;;24;6;20,9;13,68;1060;46;37;20,9;13,68;57,9;50,68;1612276;30/05/2025;27/05/2025;51;0;20323;1612276;061936              
20324;509;28/05/2025;0;;12;6;7,17;4,72;1060;46;20;7,17;4,72;27,17;24,72;1612276;30/05/2025;27/05/2025;25;0;20324;1612276;202222              
20327;509;28/05/2025;67;72;30;6;73,48;46,48;1060;54;9999;73,48;46,48;9933,92;10045,48;1612276;30/05/2025;27/05/2025;9934;98;20327;1612276;062035              
20328;509;28/05/2025;41;30;30;6;27,94;17,61;1060;54;9999;27,94;17,61;9955,5;10016,61;1612276;30/05/2025;27/05/2025;9956;52;20328;1612276;062283              
20333;509;28/05/2025;0;;6;6;0;0;1060;46;53;0;0;53;53;1612276;30/05/2025;27/05/2025;53;0;20333;1612276;062755              
20380;509;28/05/2025;26;48;24;24;38,13;25,24;1060;54;9999;38,13;25,24;9962,69;10024,24;1612276;30/05/2025;27/05/2025;9963;41;20380;1612276;640029              
20418;509;28/05/2025;0;;30;6;0;0;1060;46;19;0;0;19;19;1612276;30/05/2025;27/05/2025;19;0;20418;1612276;062682              
20431;509;28/05/2025;33;;30;6;11,36;8,13;1060;54;9999;11,36;8,13;9977,69;10007,13;1612276;30/05/2025;27/05/2025;9978;38;20431;1612276;062947              
20446;794;30/05/2025;0;;120;12;0;0;1063;46;0;0;0;0;0;1612323;31/05/2025;27/05/2025;0;0;20446;1612323;674131              
20605;509;28/05/2025;120;45;45;15;78,27;48,27;1060;54;9999;78,27;48,27;9912,6;10047,27;1612276;30/05/2025;27/05/2025;9913;143;20605;1612276;706938              
20621;509;28/05/2025;35;;30;15;22,34;14,12;1060;54;9999;22,34;14,12;9986,12;10013,12;1612276;30/05/2025;27/05/2025;9986;42;20621;1612276;081449              
20635;509;28/05/2025;0;;15;15;7,17;4,72;1060;46;20;7,17;4,72;27,17;24,72;1612276;30/05/2025;27/05/2025;25;0;20635;1612276;348714              
20641;509;28/05/2025;24;;24;12;14,77;8,32;1060;54;9999;14,77;8,32;9989,99;10007,32;1612276;30/05/2025;27/05/2025;9990;28;20641;1612276;014250              
20642;509;28/05/2025;0;;24;12;0;0;1060;54;9999;0;0;9999;9999;1612276;30/05/2025;27/05/2025;9999;0;20642;1612276;014255              
20645;509;28/05/2025;0;;36;12;0;0;1060;46;0;0;0;0;0;1612276;29/05/2025;27/05/2025;0;0;20645;1612276;212088              
20654;509;28/05/2025;72;24;12;12;46,91;28,8;1060;54;9999;46,91;28,8;9949,91;10027,8;1612276;30/05/2025;27/05/2025;9950;92;20654;1612276;222743              
20655;794;30/05/2025;0;;32;16;11,73;4,44;1060;46;20;11,73;4,44;31,73;24,44;1612326;31/05/2025;27/05/2025;24;0;20655;1612326;232376              
20682;794;30/05/2025;14;12;12;6;0,08;0,03;1060;54;9999;0,08;0,03;9973,09;9999,03;1612326;31/05/2025;27/05/2025;9973;14;20682;1612326;623055              
