EAN;TS_1_Mois;TS_2_Mois;TS_3_Mois;TS_Final;TS_1_Semaine;TS_Final_V2
22796976017;100%;100%;100%;100%;100%;100%
22796976024;100%;100%;100%;100%;100%;100%
22796976116;100%;100%;100%;100%;100%;100%
22796976123;100%;100%;100%;100%;100%;100%
36000183399;100%;100%;100%;100%;;100%
37600106009;100%;100%;100%;100%;100%;100%
37600106412;100%;100%;100%;100%;100%;100%
37600311052;;100%;100%;100%;;100%
46000815213;100%;100%;100%;100%;100%;100%
51131592070;100%;100%;100%;100%;;100%
723830000100;;100%;100%;100%;;100%
810169960097;100%;100%;100%;100%;100%;100%
813497006154;;100%;100%;100%;;100%
813497006192;;100%;100%;100%;;100%
813497006215;;100%;100%;100%;;100%
817513010033;100%;100%;100%;100%;;100%
873983000028;;100%;100%;100%;;100%
1200101017825;100%;100%;95%;100%;100%;100%
1200101017955;100%;100%;100%;100%;100%;100%
1200101018198;;100%;100%;100%;;100%
1210002000383;86%;89%;89%;86%;;86%
1210002000659;91%;97%;97%;91%;100%;100%
1210002000802;100%;100%;100%;100%;100%;100%
1210002000833;;100%;100%;100%;;100%
1210002000925;;100%;100%;100%;;100%
1210002000956;;100%;100%;100%;;100%
1210002000987;;100%;100%;100%;;100%
1210002001137;;100%;100%;100%;;100%
1210002001199;;100%;100%;100%;;100%
1210002001366;0%;42%;42%;0%;;0%
1210002001458;100%;95%;95%;100%;100%;100%
1210002001489;100%;100%;100%;100%;100%;100%
1210002001519;0%;0%;0%;0%;;0%
1210002001670;100%;100%;100%;100%;;100%
1210002002332;42%;42%;42%;42%;100%;100%
1230000168007;100%;100%;100%;100%;;100%
1230000168021;100%;100%;100%;100%;;100%
1230000168045;92%;96%;98%;92%;;92%
1230000168465;;100%;100%;100%;;100%
3010470170117;100%;100%;100%;100%;;100%
3011250013549;93%;97%;98%;93%;100%;100%
3011261011183;100%;100%;100%;100%;100%;100%
3011261030887;100%;100%;100%;100%;100%;100%
3011261030962;100%;100%;100%;100%;100%;100%
3011360000767;100%;100%;100%;100%;100%;100%
3011360002884;69%;86%;90%;69%;21%;21%
3011360004420;100%;100%;100%;100%;100%;100%
3011360005557;100%;100%;100%;100%;;100%
3011360006233;100%;100%;100%;100%;;100%
3011360006301;100%;100%;100%;100%;;100%
3011360007421;100%;100%;100%;100%;;100%
3011360007438;;;100%;100%;;100%
3011360011657;;;100%;100%;;100%
3011360014993;100%;100%;100%;100%;;100%
3011360022202;;;100%;100%;;100%
3011360023995;100%;100%;100%;100%;;100%
3011360030108;100%;57%;57%;100%;;100%
3011360030498;100%;100%;100%;100%;100%;100%
3011360030504;100%;100%;100%;100%;100%;100%
3011360031853;100%;100%;100%;100%;;100%
3011360031914;100%;100%;100%;100%;;100%
3011360083302;100%;100%;100%;100%;;100%
3011360084781;100%;100%;100%;100%;;100%
3011610056377;100%;100%;100%;100%;100%;100%
3011932000805;;;100%;100%;;100%
3011932000829;;;100%;100%;;100%
3011932009952;;100%;100%;100%;;100%
3012990026301;100%;100%;100%;100%;100%;100%
3012990026400;100%;100%;100%;100%;100%;100%
3012991301001;100%;100%;100%;100%;100%;100%
3012991302039;100%;100%;100%;100%;100%;100%
3012992112033;55%;80%;85%;55%;0%;0%
3012992122049;;100%;100%;100%;;100%
3012992132048;;100%;100%;100%;;100%
3012992172006;;100%;100%;100%;;100%
3012992421005;61%;75%;82%;61%;100%;100%
3012992422002;100%;100%;100%;100%;100%;100%
3012993024939;76%;73%;79%;76%;100%;100%
3012993028289;53%;65%;70%;53%;100%;100%
3012993035508;67%;82%;87%;67%;;67%
3012993035553;100%;100%;100%;100%;100%;100%
3012993045590;100%;100%;100%;100%;100%;100%
3012993067356;;100%;100%;100%;;100%
3012993070776;100%;100%;100%;100%;;100%
3012993077546;;100%;100%;100%;;100%
3012993088627;;100%;100%;100%;;100%
3012996012001;100%;100%;100%;100%;100%;100%
3014230002076;100%;100%;100%;100%;100%;100%
3014230002601;100%;100%;100%;100%;100%;100%
3014230002625;100%;100%;100%;100%;100%;100%
3014230021039;100%;100%;100%;100%;;100%
3014230021237;100%;100%;100%;100%;;100%
3014230021404;100%;100%;100%;100%;100%;100%
3014230022401;100%;100%;100%;100%;;100%
3014260293253;100%;100%;100%;100%;100%;100%
3014260596989;100%;100%;100%;100%;;100%
3014680004521;;0%;7%;0%;;0%
3014680009175;0%;34%;28%;0%;;0%
3015810589284;100%;100%;100%;100%;100%;100%
3017230000059;85%;90%;93%;85%;100%;100%
3017233001008;100%;87%;90%;100%;100%;100%
3017233002005;100%;100%;100%;100%;100%;100%
3017239003723;100%;100%;100%;100%;;100%
3017239003860;100%;84%;87%;100%;;100%
3017239004188;100%;100%;100%;100%;100%;100%
3017239004836;100%;100%;100%;100%;;100%
3017239004898;;100%;100%;100%;;100%
3017239005031;;;100%;100%;;100%
3017239005215;;100%;100%;100%;;100%
3017239005321;43%;43%;43%;43%;;43%
3017239005338;100%;100%;100%;100%;;100%
3017561550018;100%;100%;100%;100%;;100%
3017561550025;100%;100%;100%;100%;;100%
3017561550032;;100%;100%;100%;;100%
3017561600010;100%;100%;100%;100%;;100%
3017561600034;;;100%;100%;;100%
3017565100073;100%;100%;100%;100%;100%;100%
3017620422003;100%;100%;100%;100%;100%;100%
3017620425035;100%;100%;82%;100%;;100%
3017620429484;100%;100%;100%;100%;100%;100%
3017620721922;100%;100%;100%;100%;;100%
3017760000062;100%;100%;100%;100%;100%;100%
3017760002035;;;100%;100%;;100%
3017760002905;100%;100%;100%;100%;100%;100%
3017760015097;100%;100%;100%;100%;100%;100%
3017760015264;100%;100%;100%;100%;100%;100%
3017760021524;100%;100%;100%;100%;;100%
3017760030106;100%;100%;100%;100%;;100%
3017760038379;100%;100%;100%;100%;100%;100%
