EAN Final;Libellé;Code Méti;VMJ;Classement;Ligne;Contrôle
3011360030498.0;175G TUB MAYO TOURNES LESIEUR;489992;55.661170495545;424;424;
3560071521714.0;500G GNOCCH POELER NAT CRF EX;7797379;55.62350224650001;425;425;
3270190127765.0;100G CHOC NOIR 74  CRF BIO;1102197;55.39994460489499;426;426;
3038352876506.0;390G SCE TOMAPIZZA PANZANI;4113055;55.360333689120004;427;427;
3245411900458.0;2X250G BEURRE DOUX CRF CLASSIC;2281430;55.316362857975015;428;428;
3760056260076.0;60G PARMIGIA REG RAPE AOP CASA;2127508;55.316362857975015;429;429;
3245411377816.0;PET 1 5L EAU ARO CIT CRF CLAS;1978612;55.30749950109001;430;430;
3033491579738.0;16X125 VELOU FRUIX;6945178;55.29923073468001;431;431;
3428272110017.0;1L LAIT S/LACT ML LACTEL BIO;4525423;55.219678125;432;432;
3560070906369.0;12X50G FRO BLC FRUITS CRF CLA;5250066;55.16996931765001;433;433;
3560071456702.0;500G LENTILLES VERTES CRF CLAS;7409192;55.14310683800001;434;434;
3270190207504.0;500G TABOULE ORIENTAL CRF CLAS;1103760;55.13933091726001;435;435;
8024884147615.0;PET 1L EAU MINERALE MONT BLANC;5516386;54.82109512567;436;436;
3560071084042.0;200G CACAH GRIL S SEL CRF CLAS;7073678;54.637058982415;437;437;
3616474703582.0;PAPIER CUISSON 15 M BRUN;7279924;54.571767235;438;438;
3245411400712.0;300G RAVIOLI 4 FROMAGES CRF;1989472;54.539525309625006;439;439;
3245412956515.0;200G TZATZIKI CRF SENSATION;2818665;54.508554540000006;440;440;
3272770096850.0;400G SAINT MORET;5244008;54.43531244676001;441;441;
3560071019006.0;150G CHEDDAR RAPE CRF CLA;6309639;54.24870222900002;442;442;
3560070506491.0;200G MEL  FROMAGE RAPE CRF CLA;4188751;54.13327945830002;443;443;
3245390089854.0;300G GALETTES SARRASIN RDF;1016447;54.110859642630004;444;444;
3560071010058.0;500G PAIN SEIGLE CEREALE CRF;5910189;54.04233114945002;445;445;
3760049790818.0;340G BAGUET VIENN FENDU BOULAN;2196369;54.01205533368001;446;446;
3261570000044.0;BLE 75CL BIERE GOUDALE BLDE;266342;53.98046019639;447;447;
3073781131925.0;216G KIRI 12P EAN 2020;6975690;53.83728954684001;448;448;
3560070328888.0;2 KG SPAGHETTI QS CRF CLASSIC;3747224;53.69791214736001;449;449;
3560071013875.0;350G X10 KNACK PORC CRF CLA;6676087;53.66814382161;450;450;
3033491580536.0;125GX8 NATURE FJORD;6946030;53.52250566591;451;451;
3245411216818.0;150G FROMAG TARTINABLE NAT CRF;1905270;53.48159403462001;452;452;
5053990156009.0;175G PRINGLES ORIGINAL;6951483;53.4732637715;453;453;
3497911101129.0;125G CHIPS POULET BRAIS BRET'S;1956333;53.32386141036499;454;454;
3270190024835.0;350G PAIN LAIT MIX X10 CRF CLA;1080651;53.312569170930004;455;455;
5449000283900.0;BTE 6X33CL COCA COLA;7202343;53.266050088680004;456;456;
3560070809264.0;3X1/10 TH ALB PREC NAT CRF EXT;4899809;53.168598400725;457;457;
5449000232250.0;PET 1 25L FUZE TEA PECHE;6529406;53.09941918797001;458;458;
3266980891411.0;300G FILETS POULET JAUNE LG;6509084;53.08843144500001;459;459;
3045206313254.0;X72 LING  MULTI USAGES SANYTOL;4762493;53.06979199;460;460;
8076809523509.0;500G LINGUINE COLLEZIONE BARIL;2226265;53.03633622768;461;461;
3560071102944.0;2X115ML JUS CIT SICILE CRF CLA;6048635;53.02608745541999;462;462;
8720182556738.0;360G  MOUTARDE ORIG  FORTE;7578138;53.010891;463;463;
3599741006350.0;900G EPINARDS HACHES A LA CREM;7429975;52.99343427456001;464;464;
5011069171643.0;8X21G FICELLO NATURE;5881195;52.91088584274;465;465;
3560071293536.0;6X30G CHIPS LISSE NATURE;6940332;52.782502411275;466;466;
3560071193911.0;750ML GEL JAV WC PIN/EUCA CRFE;6678534;52.645233654079995;467;467;
3560071172480.0;8X125G STEAK HACHE 15  CRFORIG;6450690;52.585979807835;468;468;
3245414638853.0;1KG FROMAGE BLANC 0  SIMPL;3689572;52.52180233009501;469;469;
3033491350795.0;4X125G CITR ACTIV;6555159;52.49040854508;470;470;
3270190204008.0;230G FEUILLETEE ROULEE PB CRF;1087561;52.336189220040005;471;471;
3560071019570.0;900G BROCOLI FLEURETTE CRF CLA;7303763;52.004303431200015;472;472;
3245415074261.0;650G HACHE VRAC 15  CRF;4087566;51.97357438465501;473;473;
3286018000318.0;X72 LING  EPAISSES H2O BIOLANE;3484241;51.91975016025;474;474;
3154230809425.0;BPARIS JAMBON A L'ETOUFFEE 8T;7536910;51.84947979846001;475;475;
3168930000990.0;85G LAY'S 3D'S BUGLES NATURE;1929870;51.84512260592;476;476;
3245414649309.0;150G CHIP RECET ANCIE CRF ORIG;3695593;51.8157899129;477;477;
3560071184056.0;BOITE CUBIQUE 48 MOUCH 3P CRF;6551814;51.716512294255004;478;478;
3154230802310.0;150G ALLUMETTES FUMEES CSN;7317361;51.631234072605004;479;479;
3248830000150.0;230G PAT FEUIL P BEURRE MARIE;6718206;51.57258601032;480;480;
3560070425235.0;500G ST RIZ ARBORIO CRF EXT;3937027;51.56781674500001;481;481;
3245412477478.0;140G 4T SAUM FUM NORV CRF EXTR;2574079;51.30246046842001;482;482;
7322540757781.0;X42 PH HUMIDE PURE LOTUS;5863584;51.25593600295;483;483;
3560071010522.0;180G HOUMOUS EXTRA CARREFOUR;5854020;51.154646805000006;484;484;
3608580006657.0;4X100 POM POIR AND;5509725;51.05076631137002;485;485;
3560070323098.0;4/4 HARI VERTS T FINS CRF CLAS;3677814;50.93427769656001;486;486;
3560070349647.0;50CL SPE LAIT 15  SIMPL;3742435;50.71156839936001;487;487;
3560071139346.0;72CL HAR VERTS XF CPES BIO CRF;6398227;50.686422330640006;488;488;
3560071439378.0;72CL HARICOTS VERT CRF BIO;7317528;50.686422330640006;489;489;
3560070598021.0;400G NUGGETS CRF CLASSIC;4455586;50.657059844820004;490;490;
3560070879762.0;500G PAIN DE SEIGLE CARREFOUR;5138050;50.651439783210016;491;491;
3523230030793.0;250G MOUL SDM NOIRMOUT GD FER;5506854;50.61288495195001;492;492;
3560071433925.0;200G SAU FUM NORV  CRF CLASSIC;7298986;50.587443597780016;493;493;
3560070825493.0;500G FUSILLI COMPLET QS CRF EX;5507192;50.555426528880005;494;494;
3245411573669.0;1L BOISS RIZ CARREFOUR BIO;2085944;50.551627415024996;495;495;
3123930710737.0;3X70G EMMENTAL RAPE ENTREMONT;610409;50.497462181250015;496;496;
3392780004888.0;160G TRUITE FUMEE 6 TRANC;7789461;50.408689380120016;497;497;
3560070955763.0;80GR 10TR VIANDE GRISON CRF EX;5503422;50.282842301595004;498;498;
3587220002252.0;500G GACHE TRANCHEE FOURNEE;6038073;50.016191528970005;499;499;
3560070278046.0;3X70G DBLE CONCENT TOMATE CRF;3531323;50.0140086288;500;500;
