CODE_FOURNISSEUR;NO_COMMANDE_FOURNISSEUR;CODE_RAYON;CLASSE_STOCKAGE;SITUATION_COMMANDE;DATE_COMMANDE;DATE_LIVRAISON;CDBASE;EAN;LIBELLÉ_ARTICLE;QUANTITE_CONFIRMEE;QUANTITE_COMMANDEE;Commande_Origine;Code_Famille;Libelle_Famille;Libelle_Rayon;Mod_pas_cde;Passage_Prolog;IFLS;DATE_RECEPTION;NUM_COMMANDE_EXTERNE;DATE_CREATION
522;1605079;2;1064;39;13/05/2025;22/05/2025;7270923;3057640269813;VOLVIC 1L RPET;3456;3456;0;235;EAUX;LIQUIDES;P;0;P86768;22/05/2025;VP022062;15/05/2025 17:24:22
794;1606060;3;1060;39;15/05/2025;17/05/2025;7220124;3560071250492;200ML AP SHP AVO KARI CRF SOFT;0;0;1606060;280;SOINS ET BEAUTE DE CHEVELURE;D.P.H.;P;1;189878;17/05/2025;VP021069;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;7208466;7622201815516;360G NAPOLITAIN IND FAMILIAL;0;0;1605301;10;BISCUITS SUCRES;EPICERIE;P;1;P34570;15/05/2025;;15/05/2025 17:24:22
509;1606310;1;1060;41;14/05/2025;15/05/2025;7208466;7622201815516;360G NAPOLITAIN IND FAMILIAL;36;36;1605301;10;BISCUITS SUCRES;EPICERIE;P;0;P34570;15/05/2025;;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;7208466;7622201815516;360G NAPOLITAIN IND FAMILIAL;24;24;1606021;10;BISCUITS SUCRES;EPICERIE;P;1;P34570;16/05/2025;VP021074;15/05/2025 17:24:22
509;1605128;1;1060;39;13/05/2025;20/05/2025;7243684;7613287414298;101G STARBUCKS NESP COLOMBIA;119;0;0;15;CAFES TORREFIES;EPICERIE;P;0;P66271;20/05/2025;VP022062;15/05/2025 17:24:22
509;1605121;1;1060;39;13/05/2025;27/05/2025;7243684;7613287414298;101G STARBUCKS NESP COLOMBIA;28;28;0;15;CAFES TORREFIES;EPICERIE;P;0;P66271;27/05/2025;VP022062;15/05/2025 17:24:22
522;1606027;1;1060;39;15/05/2025;17/05/2025;7199520;4002973298084;3KG/7L CAT'S BEST ORIGINAL NF;6;6;1606027;161;PRODUITS CHATS;EPICERIE;P;1;P28617;17/05/2025;VP021074;15/05/2025 17:24:22
522;1605650;1;1060;41;13/05/2025;15/05/2025;7199520;4002973298084;3KG/7L CAT'S BEST ORIGINAL NF;6;6;1604651;161;PRODUITS CHATS;EPICERIE;P;0;P28617;15/05/2025;;15/05/2025 17:24:22
794;1606060;1;1060;39;15/05/2025;17/05/2025;7323968;4002359016745;300G SW NOUILLES EN NIDS;48;48;1606060;166;ETHNIQUE;EPICERIE;P;1;Q36391;17/05/2025;VP021069;15/05/2025 17:24:22
794;1600242;1;1060;39;03/05/2025;20/05/2025;7323968;4002359016745;300G SW NOUILLES EN NIDS;24;24;0;166;ETHNIQUE;EPICERIE;P;0;Q36391;20/05/2025;VP021069;15/05/2025 17:24:22
509;1605128;1;1060;39;13/05/2025;20/05/2025;7071002;3560071269739;4X32G BARR PROT FRUITS CRF SEN;30;30;0;30;CEREALES ET EN-CAS;EPICERIE;P;0;N79094;20/05/2025;VP022062;15/05/2025 17:24:22
794;1606060;3;1060;39;15/05/2025;17/05/2025;7273228;3560071403300;20 BDE CIRE VIS  2 LGT CRF SFT;24;24;1606060;289;SOIN BEAUTE CORPS;D.P.H.;P;1;Q00941;17/05/2025;VP021069;15/05/2025 17:24:22
794;1606060;3;1060;39;15/05/2025;17/05/2025;7266012;3560071267315;200ML GAR PX SS CRF MEN;12;12;1606060;287;RASAGE;D.P.H.;P;1;P82632;17/05/2025;VP021069;15/05/2025 17:24:22
794;1605094;3;1060;41;28/04/2025;14/05/2025;7266012;3560071267315;200ML GAR PX SS CRF MEN;0;12;1604185;287;RASAGE;D.P.H.;P;0;P82632;14/05/2025;;15/05/2025 17:24:22
794;1600247;1;1060;39;03/05/2025;19/05/2025;7289412;3760077537126;700G PUREE DE TOMATES BASILIC;12;12;0;166;ETHNIQUE;EPICERIE;P;0;Q03408;19/05/2025;VP021069;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;7315669;3560071253462;90G CROUTONS  NATURE CRF CLASS;40;40;1606021;85;POTAGES ET BOUILLONS;EPICERIE;P;1;Q28959;16/05/2025;VP021074;15/05/2025 17:24:22
509;1606445;1;1060;41;14/05/2025;15/05/2025;7315669;3560071253462;90G CROUTONS  NATURE CRF CLASS;40;40;1605301;85;POTAGES ET BOUILLONS;EPICERIE;P;0;Q28959;15/05/2025;;15/05/2025 17:24:22
