CDBASE;FOURNISSEUR;DATE_LIVRAISON;STOCK;RAL;MINIMUM_COMMANDE;PCB;QTÉPRÉVISION1;QTÉPRÉVISION2;CLASSE_STOCKAGE;COCHE_RAO;STOCK_MARCHAND;QTÉPRÉVISIONINIT1;QTÉPRÉVISIONINIT2;QTÉPROPOSÉE1;QTÉPROPOSÉE2;NUMERO_COMMANDE;DATE_L2;DATE_COMMANDE;QTÉPROPOSÉEFINALE;STOCK_REEL;CDBASE2;NUMERO_COMMANDE2;IFLS
7959718;509;05/06/2025;45;36;12;12;9;7,11;1060;54;9999;9;7,11;9926,89;10006,11;1616143;06/06/2025;04/06/2025;9927;51;7959718;1616143;V76104              
7959793;794;06/06/2025;14;;13;13;2,65;1,2;1060;54;9999;2,65;1,2;9987,25;10000,2;1616187;07/06/2025;04/06/2025;9987;15;7959793;1616187;V76224              
7959794;794;06/06/2025;0;24;12;12;8,03;6,17;1060;54;9999;8,03;6,17;9983,03;10005,17;1616187;07/06/2025;04/06/2025;9983;0;7959794;1616187;V76225              
7959811;794;06/06/2025;23;;18;18;0,02;0,01;1060;46;9999;0,02;0,01;9976,02;9999,01;1616187;07/06/2025;04/06/2025;9976;23;7959811;1616187;V76236              
7959816;794;06/06/2025;21;;10;10;0,02;0,01;1060;46;9999;0,02;0,01;9978,02;9999,01;1616187;07/06/2025;04/06/2025;9978;21;7959816;1616187;V76241              
7960206;509;05/06/2025;57;;32;16;13,44;6,56;1060;54;9999;13,45;6,56;9955,89;10005,56;1616143;06/06/2025;04/06/2025;9956;63;7960206;1616143;V76590              
7960209;509;05/06/2025;21;;12;12;2,22;0,89;1060;54;20;2,22;0,89;1,33;20,89;1616143;06/06/2025;04/06/2025;1;22;7960209;1616143;V76593              
7960211;509;05/06/2025;25;12;12;12;10,22;4,89;1060;54;9999;10,22;4,89;9972,22;10003,89;1616143;06/06/2025;04/06/2025;9972;31;7960211;1616143;V76595              
7961173;509;05/06/2025;11;;12;12;0,01;0,01;1060;54;9999;0,01;0,01;9988,03;9999,01;1616143;06/06/2025;04/06/2025;9988;11;7961173;1616143;V77181              
7962457;794;06/06/2025;0;;6;6;0;0;1060;46;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;0;7962457;1616187;
7962673;509;05/06/2025;19;;42;14;0;0;1060;54;20;0;0;1;20;1616143;06/06/2025;04/06/2025;1;19;7962673;1616143;V78603              
7963118;794;06/06/2025;11;;12;12;0,04;0,02;1060;46;9999;0,04;0,02;9988,05;9999,02;1616187;07/06/2025;04/06/2025;9988;11;7963118;1616187;V78894              
7963292;509;05/06/2025;12;;5;5;1,8;1;1060;46;9999;1,8;1;9988,97;10000;1616143;06/06/2025;04/06/2025;9989;12;7963292;1616143;V79001              
7964029;691;06/06/2025;21;;12;12;0,09;0,05;1070;46;9999;0,09;0,05;9978,11;9999,05;1616165;07/06/2025;04/06/2025;9978;21;7964029;1616165;343967              
7964187;509;05/06/2025;0;36;1;1;3,4;2;1060;46;20;3,4;2;-12,6;22;1616143;06/06/2025;04/06/2025;0;0;7964187;1616143;V79703              
7964868;794;06/06/2025;30;;6;6;0;0;1060;46;9999;0,01;0;9969;9999;1616187;07/06/2025;04/06/2025;9969;30;7964868;1616187;V80553              
7964883;794;06/06/2025;12;;6;6;0;0;1060;46;0;0;0;-12;0;1616187;07/06/2025;04/06/2025;0;12;7964883;1616187;
7965457;794;06/06/2025;0;;30;30;1;0,71;1060;54;0;1;0,71;1;0,71;1616187;07/06/2025;04/06/2025;1;0;7965457;1616187;V94088              
7965830;509;05/06/2025;228;;2;2;0;0;1061;46;0;0;0;-228;0;1616140;06/06/2025;04/06/2025;0;228;7965830;1616140;
7967378;509;05/06/2025;131;;10;10;0,04;0,01;1060;54;9999;0,04;0,01;9868,08;9999,01;1616143;06/06/2025;04/06/2025;9868;131;7967378;1616143;V82780              
7967513;794;06/06/2025;11;;12;12;0,07;0,03;1060;54;9999;0,07;0,03;9988,08;9999,03;1616187;07/06/2025;04/06/2025;9988;11;7967513;1616187;V82912              
7967535;509;05/06/2025;0;;10;10;0,06;0,03;1060;54;28;0,06;0,03;28,05;28,03;1616143;06/06/2025;04/06/2025;28;0;7967535;1616143;V82926              
7967572;509;05/06/2025;117;;10;10;0,04;0,02;1060;54;9999;0,04;0,02;9882,06;9999,02;1616143;06/06/2025;04/06/2025;9882;114;7967572;1616143;V82934              
7968850;794;06/06/2025;0;;42;6;12,22;3,67;1060;54;30;12,22;3,67;42,22;33,67;1616187;07/06/2025;04/06/2025;34;0;7968850;1616187;V84225              
7971162;794;06/06/2025;0;;12;12;0,06;0,02;1060;54;20;0,06;0,02;20,06;20,02;1616187;07/06/2025;04/06/2025;20;0;7971162;1616187;V86456              
7972607;794;06/06/2025;0;;12;12;0;0;1060;46;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;;7972607;1616187;
7973539;794;06/06/2025;28;12;12;12;0,13;0,09;1060;54;9999;0,13;0,09;9959,18;9999,09;1616187;07/06/2025;04/06/2025;9959;28;7973539;1616187;V88112              
7973540;794;06/06/2025;43;;12;12;0,07;0,03;1060;46;9999;0,07;0,03;9956,08;9999,03;1616187;07/06/2025;04/06/2025;9956;43;7973540;1616187;V88113              
7973541;794;06/06/2025;7;12;12;12;0,07;0,03;1060;46;9999;0,07;0,03;9980,09;9999,03;1616187;07/06/2025;04/06/2025;9980;7;7973541;1616187;V88114              
7973542;794;06/06/2025;0;24;12;12;0,1;0,04;1060;54;9999;0,1;0,04;9975,1;9999,04;1616187;07/06/2025;04/06/2025;9975;0;7973542;1616187;V88115              
7973543;794;06/06/2025;6;36;12;12;0,09;0,03;1060;46;9999;0,09;0,03;9957,12;9999,03;1616187;07/06/2025;04/06/2025;9957;6;7973543;1616187;V88116              
7973544;794;06/06/2025;0;;12;12;0,06;0,02;1060;46;20;0,06;0,02;20,06;20,02;1616187;07/06/2025;04/06/2025;20;0;7973544;1616187;V88117              
7973545;794;06/06/2025;15;12;6;6;0,06;0,02;1060;54;9999;0,06;0,03;9972,08;9999,02;1616187;07/06/2025;04/06/2025;9972;14;7973545;1616187;V88118              
7973546;794;06/06/2025;1;48;12;12;0,08;0,04;1060;54;9999;0,08;0,04;9950,11;9999,04;1616187;07/06/2025;04/06/2025;9950;1;7973546;1616187;V88119              
7973574;794;06/06/2025;19;12;12;12;0,05;0,02;1060;54;9999;0,05;0,02;9968,06;9999,02;1616187;07/06/2025;04/06/2025;9968;19;7973574;1616187;V88129              
7973576;794;06/06/2025;14;12;6;6;0,07;0,03;1060;54;9999;0,07;0,03;9973,09;9999,03;1616187;07/06/2025;04/06/2025;9973;13;7973576;1616187;V88131              
7973578;794;06/06/2025;8;48;12;12;0,15;0,06;1060;54;9999;0,15;0,06;9943,18;9999,06;1616187;07/06/2025;04/06/2025;9943;8;7973578;1616187;V88132              
7973580;794;06/06/2025;79;;6;6;0,03;0,01;1060;54;9999;0,03;0,01;9920,04;9999,01;1616187;07/06/2025;04/06/2025;9920;79;7973580;1616187;V88133              
7973589;794;06/06/2025;241;;6;6;0,02;0,01;1060;46;9999;0,02;0,01;9758,02;9999,01;1616187;07/06/2025;04/06/2025;9758;241;7973589;1616187;V88137              
