entrepot;EAN13;ifls;libelle article;Nombre Maxi Unités De Commande;pcb;ID;ID2;QteMaxUS
467;8000070076266;W44357;1000G GRAINS PETIT DEJ CN;1;6;467-8000070076266;467-W44357;6
467;8000070080096;W44200;500G GRAINS SOLIDAIRE CN;1;12;467-8000070080096;467-W44200;12
467;8000070200166;765062;250G CAFE GRAIN CARTE NOIRE;1;12;467-8000070200166;467-765062;12
467;8000070027442;W44287;500G GRAINS DECA LVZ;1;12;467-8000070027442;467-W44287;12
467;8000070200098;909341;LT2X250G CAF MLU DK N5 C.NOIRE;1;6;467-8000070200098;467-909341;6
467;8000070016675;102092;45G 25STICK INSTANT CLASSIC CN;1;16;467-8000070016675;467-102092;16
467;8000070016699;L28639;144G X80STICK CN INST CLASSIC;1;8;467-8000070016699;467-L28639;8
467;8000070044166;N45975;180G REFILL SOLUBLE CN;1;6;467-8000070044166;467-N45975;6
467;8000070046542;P63360;180G CN INSTANT JAR CLASSIC;1;6;467-8000070046542;467-P63360;6
467;3162780362253;W25927;0.415KG PREP MOELCHOC FRANCINE;1;10;467-3162780362253;467-W25927;10
509;8000070000179;666457;250G X36DOS DK 5 CARTE NOIR;1;10;509-8000070000179;509-666457;10
509;8000070000193;576274;250G X36DOS ESPR CLASSIC 8 CN;1;10;509-8000070000193;509-576274;10
509;8000070000216;577688;336G X48 DOS ESPR CLASSIC 8 CN;1;10;509-8000070000216;509-577688;10
509;8000070000520;576240;420G X60 DOSETTES CORSE 7 CN;1;10;509-8000070000520;509-576240;10
509;8000070000698;783607;LT2X250G CF ML DOUC INT CNOIR;1;6;509-8000070000698;509-783607;6
509;8000070012813;032494;250G ESPRESSO ITALIANO ML LAVA;1;20;509-8000070012813;509-032494;20
509;8000070012882;032498;2X250G ESPRESSO ITALIANO ML;1;10;509-8000070012882;509-032498;10
509;8000070014114;501325;2X250G MOULU BARISTA INTEN LVZ;1;10;509-8000070014114;509-501325;10
509;8000070014602;092321;250G MOULU BARISTA INTEN LVZ;1;20;509-8000070014602;509-092321;20
509;8000070020627;297543;2X250G MOULU QUALITA ORO LAVAZ;1;10;509-8000070020627;509-297543;10
509;8000070023970;L27914;LT2X250G MLU BIO C;1;6;509-8000070023970;509-L27914;6
509;8000070032835;382208;250G CAFE MOULU IL MATTINO;1;12;509-8000070032835;509-382208;12
509;8000070032866;382221;4X250G CAFE ML IL MATTINO;1;3;509-8000070032866;509-382221;3
509;8000070053465;T49633;LVZ CAP ALU 10X55G QO STD 10CA;1;10;509-8000070053465;509-T49633;10
509;8000070059122;R29022;CN CAPS ALU 10X55G INT N9 10CA;1;10;509-8000070059122;509-R29022;10
509;8000070059153;R33129;CN CAPS ALU 10X55G CLA N7 10CA;1;10;509-8000070059153;509-R33129;10
