Date;frais manuel;frais méca;sec homogène - a/b;sec homogène - a/c;sec hétérogène - a/b;sec hétérogène - a/c;sec méca - a/b;sec méca - a/c;surgelés;Total
2025-06-04;17862.0;46445.0;446.0;0.0;18105.0;0.0;81575.0;0.0;6503.0;170936.0
2025-06-05;1402.0;7344.0;137.0;0.0;10128.0;0.0;32851.0;0.0;0.0;51862.0
2025-06-06;1319.0;10288.0;0.0;0.0;0.0;0.0;0.0;506.0;0.0;12113.0
2025-06-07;1040.0;734.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1774.0
2025-06-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-06-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-06-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
