EAN Final;Libellé;Code Méti;VMJ;Classement;Ligne;Contrôle
7,61304E+12;390G PATE PIZZA FINE RECT HERT;5946573;83,53779448;251;5057;1
3,27019E+12;2X120G BARQ CHOCOLAT CRF CLA;1409530;83,5249177;252;1028;1
7,61304E+12;PET 1L PERRIER F BULLES NEW2;6044664;83,01847295;253;5222;1
3,27019E+12;370G MOUTARDE DE DIJON CRF CLA;843683;82,85408782;254;689;1
3,56007E+12;BRK 2L PJ MULTIFRUITS CRF;3226263;82,81546524;255;1865;1
3,27019E+12;X3 EPONGES GRATTANTES CRF EXP;843946;82,77451966;256;718;1
87157215;250G TOMA KETCH TOP DOWN HEINZ;269890;82,61848474;257;358;1
3,24541E+12;250G BEURRIER TENDRE DX CRF CL;1982272;82,25164857;258;1165;1
3,56007E+12;PET 1 5L LIMONADE CRF CLASSIC;4333829;82,00755563;259;2919;1
3,56007E+12;4/4 POIS CHICHE CRF CLASSIC;3737842;81,98248343;260;2318;1
3,16171E+12;300G CAPRICE DES  DIEUX;6599448;81,61180404;261;6214;1
3,32977E+12;YOPLAIT PAT PATROUILLE 50GX12;6979455;81,44412189;262;7059;1
3,56007E+12;550G PDM GT NATURE SA CRF CLAS;7623014;81,40724205;263;8991;1
3,22886E+12;500G EXTR MOELLEUX NAT HARRY'S;6509726;81,27099016;264;6015;1
3,56007E+12;1L DOUCEUR AMANDE SSACAL BIO;5983508;81,268043;265;5140;1
3,27019E+12;600G HARICOT VERT T F CRF BIO;1186126;81,08110747;266;949;1
3,27019E+12;8X100G FRO BLC NAT 0  CRF CLA;843379;80,25245169;267;634;1
3,56007E+12;12X60G PETIT SUISS 10  CRF CLA;4808308;80,24352104;268;3573;1
3,24541E+12;190G PESTO VERDE CRF CLASSIC;3307215;80,17662642;269;1902;1
3,56007E+12;500G PENNE RIGATE QS CRF CLASS;4432459;80,17063388;270;3014;1
3,56007E+12;PET 1L PJ ORANGE SIMPL;3718349;79,9590621;271;2276;1
3,27019E+12;BLE 75CL SIR GRENADINE CRF CLA;843829;79,8780933;272;707;1
3,56007E+12;200G CHOC NOIR DESSERT SIMPL;4942625;79,81494694;273;3771;1
3,03349E+12;12X60G NAT GERVAIS;6719201;79,61459242;274;6455;1
3,27019E+12;MAIS SANS SUCRE AJOUTE BOITE 3;1040260;79,4486437;275;786;1
3,56007E+12;1L HUILE TOURNESOL SIMPL;3726384;79,12331301;276;2297;1
3,61647E+12;PAPIER CUISSON 15 M BRUN;7279924;78,947113;277;7789;1
3,04692E+12;100G EXCELLENCE NOIR 70  LINDT;5904629;78,87390444;278;4968;1
3,30274E+12;8 T FINES BLC PLT DORE AU FOUR;7222733;78,50202034;279;7651;1
