CDBase;TODAY;Stock_Date_J_Fin_Journee
7192500;03/06/2025;6
7210826;13/06/2025;6
7398600;07/06/2025;6
7552140;08/06/2025;6
7645409;02/06/2025;6
7683534;02/06/2025;6
7683535;02/06/2025;6
7688362;07/06/2025;6
7829325;11/06/2025;6
7935413;09/06/2025;6
7936775;14/06/2025;6
8004645;14/06/2025;6
8004645;15/06/2025;6
8006191;12/06/2025;6
8026505;12/06/2025;6
7641941;02/06/2025;6,04
1103783;02/06/2025;6,06
7507224;02/06/2025;6,14
7754664;02/06/2025;6,25
7896366;04/06/2025;6,26
7507224;03/06/2025;6,32
7778253;02/06/2025;6,32
7896356;05/06/2025;6,34
7315425;03/06/2025;6,51
5475275;11/06/2025;6,9
4009240;10/06/2025;6,91
7550783;13/06/2025;6,95
7100788;13/06/2025;7
7720353;08/06/2025;7
7821028;15/06/2025;7
7991928;11/06/2025;7
5187154;02/06/2025;7,03
5129686;08/06/2025;7,09
6953075;02/06/2025;7,11
3148450;05/06/2025;7,17
5507187;15/06/2025;7,28
4748789;08/06/2025;7,38
170698;09/06/2025;7,72
7003713;11/06/2025;7,74
4896965;11/06/2025;7,78
3091674;05/06/2025;7,82
7661533;02/06/2025;7,95
465534;04/06/2025;8
1650458;02/06/2025;8
1671257;04/06/2025;8
3244889;03/06/2025;8
4897737;03/06/2025;8
5602864;02/06/2025;8
5602864;04/06/2025;8
5781950;07/06/2025;8
6262762;10/06/2025;8
6466557;15/06/2025;8
6961176;08/06/2025;8
7593302;11/06/2025;8
7619137;10/06/2025;8
7723702;14/06/2025;8
7914903;15/06/2025;8
7991985;03/06/2025;8
4087561;02/06/2025;8,22
7471745;04/06/2025;8,38
6966425;03/06/2025;8,47
8121667;02/06/2025;8,47
922102;03/06/2025;8,64
7994915;04/06/2025;8,84
3763066;06/06/2025;9
5121180;14/06/2025;9
5133649;07/06/2025;9
5133703;04/06/2025;9
5975217;05/06/2025;9
6485192;10/06/2025;9
7857128;06/06/2025;9
7920758;08/06/2025;9
7243846;02/06/2025;9,04
7428924;02/06/2025;9,08
7398604;02/06/2025;9,13
4671795;04/06/2025;9,37
7060903;06/06/2025;9,53
748180;04/06/2025;9,89
2510802;12/06/2025;10
3846970;12/06/2025;10
5953443;15/06/2025;10
7891815;12/06/2025;10
7930126;04/06/2025;10
5475976;07/06/2025;10,07
7524821;04/06/2025;10,11
3784042;13/06/2025;10,44
4087571;02/06/2025;10,48
7315156;02/06/2025;10,7
4087571;03/06/2025;10,73
6130306;02/06/2025;10,82
4087561;03/06/2025;10,93
2521418;02/06/2025;10,94
543613;11/06/2025;11
4003831;10/06/2025;11
5870463;07/06/2025;11
7289138;11/06/2025;11
7905748;03/06/2025;11
4346361;02/06/2025;11,01
7703858;04/06/2025;11,06
7575619;11/06/2025;11,16
6565271;04/06/2025;11,26
8135804;08/06/2025;11,33
5136415;02/06/2025;11,34
7524821;02/06/2025;11,46
91199;05/06/2025;11,62
7536949;04/06/2025;11,85
7994915;09/06/2025;11,85
7102301;09/06/2025;11,97
828809;12/06/2025;12
843490;09/06/2025;12
2313131;10/06/2025;12
3319026;10/06/2025;12
3763066;13/06/2025;12
4340811;10/06/2025;12
4991052;13/06/2025;12
5775528;13/06/2025;12
5819811;04/06/2025;12
6467432;15/06/2025;12
6493203;09/06/2025;12
6713043;11/06/2025;12
6952375;13/06/2025;12
7203383;12/06/2025;12
7289138;14/06/2025;12
7821029;15/06/2025;12
7855883;08/06/2025;12
7998813;14/06/2025;12
8006191;14/06/2025;12
7550783;11/06/2025;12,17
2929861;03/06/2025;12,2
3765368;02/06/2025;12,42
4087554;03/06/2025;12,61
2313131;06/06/2025;13
4058166;04/06/2025;13
7210419;13/06/2025;13
6473789;15/06/2025;13,04
7315421;02/06/2025;13,28
344231;15/06/2025;13,61
4962956;12/06/2025;14
5877841;14/06/2025;14
6711722;14/06/2025;14
6721825;12/06/2025;14
6971903;09/06/2025;14
7967293;03/06/2025;14
8004645;13/06/2025;14
7625624;03/06/2025;14,09
7300341;03/06/2025;14,3
