N° Rayon;Libellé Rayon;N° Groupe de familles;Libellé Groupe de famille;N° Famille;Libellé Famille;Facteur;A supprimer le
12;PARFUMERIE HYGIENE;124;PARFUMERIE SOINS;1240;SOINS DU VISAGE;1;
12;PARFUMERIE HYGIENE;124;PARFUMERIE SOINS;1242;SOINS DES MAINS;1;
12;PARFUMERIE HYGIENE;124;PARFUMERIE SOINS;1243;SOINS DES PIEDS;1;
12;PARFUMERIE HYGIENE;124;PARFUMERIE SOINS;1244;PRODUITS SOLAIRES;1;
12;PARFUMERIE HYGIENE;124;PARFUMERIE SOINS;1245;INSECTIFUGES;1;
12;PARFUMERIE HYGIENE;125;PARFUMERIE SOINS HOMME;1253;DEODORANTS;1;
12;PARFUMERIE HYGIENE;125;PARFUMERIE SOINS HOMME;1250;TOILETTE HOMME;1;
12;PARFUMERIE HYGIENE;125;PARFUMERIE SOINS HOMME;1251;RASAGE;1;
12;PARFUMERIE HYGIENE;125;PARFUMERIE SOINS HOMME;1252;PDS AP RASAGE, E DE T HOMME;1;
12;PARFUMERIE HYGIENE;126;SANTE;1260;PANSEMENT ET COMPLEMENTS;1;
12;PARFUMERIE HYGIENE;126;SANTE;1261;COMPLEMENTS ALIMENTAIRES;1;
12;PARFUMERIE HYGIENE;129;REMBOURSEMENT PARFUMERIE;1299;GESTION METIER PARFUMERIE;1;
14;EPICERIE;140;PDTS POUR PETITS DEJEUNERS;1400;PANIFICATION;1;
14;EPICERIE;140;PDTS POUR PETITS DEJEUNERS;1401;CEREALES ET BARRES;1;
14;EPICERIE;140;PDTS POUR PETITS DEJEUNERS;1402;CONFITURES;1;
14;EPICERIE;140;PDTS POUR PETITS DEJEUNERS;1403;MIELS ET CREMES;1;
14;EPICERIE;140;PDTS POUR PETITS DEJEUNERS;1404;PATES A TARTINER;1;
14;EPICERIE;140;PDTS POUR PETITS DEJEUNERS;1406;CAFES SOLUBLES ET CHICOREE;1;
14;EPICERIE;140;PDTS POUR PETITS DEJEUNERS;1407;THES - INFUSIONS;1;
14;EPICERIE;140;PDTS POUR PETITS DEJEUNERS;1405;CAFES TORREFIES;1;
14;EPICERIE;140;PDTS POUR PETITS DEJEUNERS;1408;PETITS DEJ. INSTANTANES;1;
14;EPICERIE;140;PDTS POUR PETITS DEJEUNERS;1409;LAITS;1;
14;EPICERIE;141;BISCUITS SUCRES ET PATISSERIE;1413;ASSORTIMENT, DESSERTS;1;
14;EPICERIE;141;BISCUITS SUCRES ET PATISSERIE;1414;POCKETS;1;
14;EPICERIE;141;BISCUITS SUCRES ET PATISSERIE;1410;BISCUITS SECS;1;
14;EPICERIE;141;BISCUITS SUCRES ET PATISSERIE;1411;CHOCOLATES, FRUITES;1;
14;EPICERIE;141;BISCUITS SUCRES ET PATISSERIE;1412;GOUTERS;1;
14;EPICERIE;141;BISCUITS SUCRES ET PATISSERIE;1415;PATISSERIE;1;
14;EPICERIE;142;CONFISERIE;1420;TABLETTES DE CHOCOLAT;1;
14;EPICERIE;142;CONFISERIE;1422;CONFISERIE DE SUCRE;1;
14;EPICERIE;142;CONFISERIE;1424;CHEWING-GUM;1;
14;EPICERIE;142;CONFISERIE;1421;CONFISERIE DE CHOCOLAT;1;
14;EPICERIE;142;CONFISERIE;1423;PATES DE FRUITS, NOUGATS;1;
14;EPICERIE;142;CONFISERIE;1425;CHOCOLATS SAISONNIERS NOEL;1;
14;EPICERIE;142;CONFISERIE;1426;CHOCOLATS SAISONNIERS PAQUES;1;
14;EPICERIE;143;DESSERTS, AIDE PATISSERIE, DIE;1430;FRUITS AUX SIROP;1;
14;EPICERIE;143;DESSERTS, AIDE PATISSERIE, DIE;1431;COMPOTES;1;
14;EPICERIE;143;DESSERTS, AIDE PATISSERIE, DIE;1432;DESSERTS PREPARES;1;
14;EPICERIE;143;DESSERTS, AIDE PATISSERIE, DIE;1433;DESSERTS A PREPARER;1;
14;EPICERIE;143;DESSERTS, AIDE PATISSERIE, DIE;1434;AIDES A LA PATISSERIE;1;
14;EPICERIE;143;DESSERTS, AIDE PATISSERIE, DIE;1435;SUCRES;1;
14;EPICERIE;143;DESSERTS, AIDE PATISSERIE, DIE;1436;FARINES;1;
14;EPICERIE;143;DESSERTS, AIDE PATISSERIE, DIE;1437;DIETETIQUE;1;
14;EPICERIE;144;ALIMENTS INFANTILES;1442;FARINE CEREALE,PETIT DEJ;1;
14;EPICERIE;144;ALIMENTS INFANTILES;1440;JUS FRUITS, FRUIT, GOUTER;1;
14;EPICERIE;144;ALIMENTS INFANTILES;1441;REPAS LEGUME,LEGUM/VIANDE;1;
14;EPICERIE;144;ALIMENTS INFANTILES;1443;LAITS INFANTILES;1;
14;EPICERIE;145;POTAGES, PATES, FECULENTS & AU;1450;POTAGES;1;
14;EPICERIE;145;POTAGES, PATES, FECULENTS & AU;1451;PATES;1;
14;EPICERIE;145;POTAGES, PATES, FECULENTS & AU;1452;SEMOULES/COUSCOUS;1;
14;EPICERIE;145;POTAGES, PATES, FECULENTS & AU;1453;LEGUMES SECS;1;
14;EPICERIE;145;POTAGES, PATES, FECULENTS & AU;1454;RIZ;1;
14;EPICERIE;145;POTAGES, PATES, FECULENTS & AU;1455;PUREE;1;
14;EPICERIE;146;CONSERVES ET PLATS CUISINES;1462;CONSERVE MAIS,EXOT,SALADE;1;
14;EPICERIE;146;CONSERVES ET PLATS CUISINES;1460;CONSERVES LEG.VERTS;1;
14;EPICERIE;146;CONSERVES ET PLATS CUISINES;1461;CONSERVES AUTRES LEG.;1;
14;EPICERIE;146;CONSERVES ET PLATS CUISINES;1463;CONSERVES CHAMPIGNONS;1;
14;EPICERIE;146;CONSERVES ET PLATS CUISINES;1464;CONSERVES POISSONS;1;
14;EPICERIE;146;CONSERVES ET PLATS CUISINES;1465;CONSERVES VIANDES PATES;1;
